status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0665428,0.0275029,0.116415,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0005,182,798
$,normalized-4_5_0.opb,0,-,0,0.022877,0.0361733,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.041733,0.0259429,0.0808084,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,0,0,0,0.0015,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1172.37,0.0733275,1172.6,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0027,3968,7920
$,normalized-7_7_7.opb,0,-,0.066943,0.0295387,0.119988,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0004,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.593,0.0426918,40.6944,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0015,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0421699,0.026567,0.0850052,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,0,0,0,0.001,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0532771,0.0285878,0.0986504,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0014,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,191.598,0.0436416,191.697,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0014,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0443785,0.0254875,0.0899301,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,0,0,0,0.001,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.147862,0.0432286,0.266179,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0016,6435,2146
$,normalized-8_7_20.opb,1,-,0.370215,0.0425964,0.481824,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0015,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.043419,0.0264182,0.0863204,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,0,0,0,0.0011,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0920663,0.02187,0.130407,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0014,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.512446,0.0865149,0.799967,20795,4160
