status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0664879,0.0267321,0.114038,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0004,182,798
$,normalized-4_5_0.opb,0,-,0,0.0265732,0.040652,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0418105,0.0214889,0.078391,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,0,0,0,0.0015,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1778.08,0.0770815,1778.32,3968,7920
*,normalized-sha1-size144-round21-6.opb,2,50,48,100,0.0005,3968,7920
$,normalized-7_7_7.opb,0,-,0.0639733,0.0272711,0.114897,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0001,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6489,0.0416434,40.7747,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0424357,0.0212336,0.0801166,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,0,0,0,0.0009,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0531161,0.0266475,0.129456,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0011,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,192.125,0.0459291,192.268,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0444308,0.0251252,0.103718,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,0,0,0,0.0006,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.14408,0.0368867,0.277605,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0,6435,2146
$,normalized-8_7_20.opb,1,-,0.373077,0.0410925,0.484807,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0420991,0.0291881,0.0873198,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,0,0,0,0.0011,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0921373,0.0251771,0.133444,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0012,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.514718,0.0791382,0.795362,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0940975,0.0250153,0.192441,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0014,152,305
