status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0681643,0.0274354,0.116896,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0018,182,798
$,normalized-4_5_0.opb,0,-,0,0.0226551,0.0395145,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0590441,0.0704838,0.209181,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,0,0,0,0.0076,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1173.43,0.0767361,1173.66,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0015,3968,7920
$,normalized-7_7_7.opb,0,-,0.0647884,0.0286651,0.118355,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0014,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7283,0.0436075,40.831,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0018,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0416655,0.0258288,0.0822016,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,3,66.6667,10,100,0.002,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0505011,0.0258458,0.0924393,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0021,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,190.627,0.0435575,190.725,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0016,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0439341,0.0297988,0.0905316,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,0,0,0,0.0016,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145786,0.0472741,0.268369,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0022,6435,2146
$,normalized-8_7_20.opb,1,-,0.372129,0.0392112,0.480452,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0013,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0420064,0.0250217,0.0805814,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,3,66.6667,7,100,0.002,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0923387,0.0252578,0.134985,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0027,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.511641,0.0845499,0.798589,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0044,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0925768,0.0287463,0.13575,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0026,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0409608,0.0271693,0.0811653,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0026,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.0436097,0.0310241,0.0906944,207,460
*,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,0,0,0,0.002,207,460
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0446657,0.0272288,0.0869023,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.003,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0545633,0.0272178,0.0971842,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0026,138,277
$,normalized-7_7_12.opb,0,-,0.801453,0.0358203,0.871574,380,1734
