status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0681643,0.0274354,0.116896,182,798
$,normalized-4_5_0.opb,0,-,0,0.022244,0.0361261,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0590441,0.0704838,0.209181,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1173.43,0.0767361,1173.66,3968,7920
$,normalized-7_7_7.opb,0,-,0.0647884,0.0286651,0.118355,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6104,0.0414708,40.7102,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0416655,0.0258288,0.0822016,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0505011,0.0258458,0.0924393,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,190.627,0.0435575,190.725,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0439341,0.0297988,0.0905316,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145786,0.0472741,0.268369,6435,2146
$,normalized-8_7_20.opb,1,-,0.372129,0.0392112,0.480452,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0420064,0.0250217,0.0805814,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0923387,0.0252578,0.134985,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.511641,0.0845499,0.798589,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0925768,0.0287463,0.13575,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0409608,0.0271693,0.0811653,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.0436097,0.0310241,0.0906944,207,460
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0446657,0.0272288,0.0869023,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0545633,0.0272178,0.0971842,138,277
$,normalized-7_7_12.opb,0,-,0.801453,0.0358203,0.871574,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,normalized-ECgrid5x70split.opb,0,-,154.938,0.0310968,154.985,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,air02.0.u.opb,0,-,0.359901,0.867967,1.41537,6774,51
$,normalized-vertexcover-grid4x11.opb,0,-,0.0425542,0.0210588,0.0772656,44,89
$,normalized-5_7_7.opb,0,-,0.0637772,0.0267331,0.111729,156,677
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0503485,0.0236962,0.0870489,78,157
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,32412,0.0417223,0.0370634,0.092965,137,288
$,normalized-ECgrid5x60split.opb,0,-,206.773,0.0271292,206.818,601,301
$,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,11562,0.052462,0.0298209,0.104411,263,677
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0567029,0.0275837,0.0977638,88,177
$,normalized-2_3_4.opb,0,-,0.0440855,0.0294562,0.0879041,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,179222,0.0417422,0.0357428,0.0923858,199,436
$,normalized-sha1-size128-round21-9.opb,1,-,3212.06,0.0757569,3212.29,3968,7904
$,cracpb1.0.s.opb,1,-,0.128598,0.0418403,0.198135,572,145
$,normalized-8_6_25.opb,0,-,327.762,0.0509787,327.886,1122,5318
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,16212,0.0421279,0.0254546,0.0815498,129,262
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irEDCBA.opb,1,256578,0.0425701,0.0273294,0.0861296,173,415
$,normalized-6_6_14.opb,0,-,0.738254,0.0387555,0.809774,420,1925
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-EDCBAir.opb,1,-6877,0.0469249,0.0276986,0.09077,227,569
$,normalized-vertexcover-grid10x27-hard.opb,0,-,0.341597,0.0283311,0.387575,270,541
$,normalized-vertexcover-completegraph-41.opb,0,-,0.0433187,0.026075,0.0897747,41,821
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-irabcde.opb,1,95472,0.041618,0.0283582,0.0826881,137,288
$,normalized-ECgrid5x110split.opb,0,-,558.121,0.0269762,558.168,1101,551
$,diamond.0.d.opb,0,-,0.0279956,0.0202441,0.0591275,2,4
$,normalized-3_5_3.opb,0,-,0.0262213,0.0256917,0.0656477,42,161
$,normalized-3col-almost3reg-l060-r059-n1.opb,0,-,3655.91,0.0485351,3656.04,3282,6986
$,normalized-ECgrid5x150split.opb,0,-,1366.68,0.0275033,1366.73,1501,751
$,normalized-ECrand4regsplit-v080-n1.opb,0,-,0.0721323,0.0250066,0.112063,159,80
$,normalized-rand6reg-v041-n2.opb,0,-,0.293215,0.0250441,0.3308,123,41
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-combined-abcdeir.opb,1,37833,0.0410824,0.0264283,0.084237,191,475
$,normalized-single-obj-f27-DC2Loss.seq-B-2-combined-EDCBAir.opb,1,-39178,0.27029,0.189149,0.705407,211,476
$,normalized-3_4_7.opb,0,-,0.0487873,0.0301379,0.0962634,110,465
$,normalized-ECrand4regsplit-v070-n1.opb,0,-,0.092598,0.0265543,0.133653,139,70
&,normalized-5_6_33.opb,timeout,-1,-1,-1,-1,1482,7073
$,normalized-7_7_11.opb,0,-,0.356523,0.0332508,0.42261,342,1553
$,normalized-single-obj-f18-AC1Loss.seq-A-2-1-irabcde.opb,1,7696,0.0416384,0.026222,0.0815202,86,178
$,normalized-3_6_2.opb,0,-,0.0256214,0.0331178,0.0716564,30,110
$,normalized-vertexcover-grid6x13.opb,0,-,0.0426223,0.0216932,0.0810242,78,157
$,normalized-single-obj-f20-ACTotalLoss.seq-B-2-1-irabcde.opb,1,202398,0.0516555,0.0273924,0.0979813,253,637
$,normalized-subsetcard-geq-random4regular-60.opb,0,-,0.0433172,0.0236396,0.0826622,241,120
$,normalized-single-obj-f23-DC1Loss.seq-A-2-combined-irabcde.opb,1,728064,0.0426,0.0293062,0.0880546,211,476
$,normalized-single-obj-f26-ACDoubleLoss.seq-B-2-1-abcdeir.opb,1,23133,0.0466062,0.0273445,0.0912256,185,451
&,normalized-sha1-size144-round23-8.opb,timeout,-1,-1,-1,-1,4288,9520
$,normalized-single-obj-f20-ACTotalLoss.seq-A-2-2-irabcde.opb,1,203154,0.045456,0.0295078,0.0928908,233,577
&,normalized-5_6_31.opb,timeout,-1,-1,-1,-1,1332,6341
$,normalized-vertexcover-grid6x27-hard.opb,0,-,0.0607752,0.0279492,0.103529,162,325
$,normalized-vertexcover-grid4x25.opb,0,-,0.0490409,0.0274484,0.0909359,100,201
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-abcdeir.opb,1,274943,0.04691,0.0266027,0.0925813,227,569
$,normalized-single-obj-f19-ACTotalLoss.seq-A-2-1-irabcde.opb,1,206682,0.0484525,0.0266528,0.0932705,253,637
&,normalized-sha1-size128-round22-7.opb,timeout,-1,-1,-1,-1,4128,8704
&,normalized-sha1-size144-round22-8.opb,timeout,-1,-1,-1,-1,4128,8720
$,mod008.opb,1,307,0.301487,0.0217554,0.339752,319,6
$,normalized-5_6_5.opb,0,-,0.0491314,0.0300341,0.094588,110,465
$,normalized-2_5_3.opb,1,-,0.0399704,0.0256625,0.0807674,30,110
$,normalized-sha1-size80-round21-3.opb,1,-,860.652,0.0734539,860.883,3968,7856
&,normalized-sha1-size160-round23-6.opb,timeout,-1,-1,-1,-1,4288,9536
$,normalized-vertexcover-grid4x21-hard.opb,0,-,0.0490579,0.0258231,0.091462,84,169
$,normalized-single-obj-f27-DC2Loss.seq-A-3-combined-irEDCBA.opb,1,720889,0.0417447,0.0275856,0.0842061,183,384
&,normalized-sha1-size96-round22-4.opb,timeout,-1,-1,-1,-1,4128,8672
$,normalized-compression64_27.opb,1,-,0.564862,0.637082,3.4008,8372,41046
$,normalized-rand6reg-v051-n3.opb,0,-,0.0944895,0.0243719,0.13195,153,51
&,normalized-sha1-size80-round23-4.opb,timeout,-1,-1,-1,-1,4288,9456
$,normalized-7_7_18.opb,1,-,5.69809,0.038338,5.79402,650,3030
$,normalized-sha1-size112-round21-6.opb,1,-,499.203,0.073743,499.432,3968,7888
$,normalized-ECrand6reg-v011-n1.opb,0,-,0.0402139,0.0233345,0.0770241,33,11
$,normalized-5_6_0.opb,0,-,0,0.0236895,0.03694,30,110
&,256ebits_0.opb,timeout,-1,-1,-1,-1,512,3
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-abcdeir.opb,1,80903,0.0461656,0.0243466,0.0880872,227,569
$,normalized-compression64_26.opb,1,-,0.651592,0.620045,3.43268,8190,40145
$,normalized-ECrand6reg-v081-n1.opb,0,-,0.71634,0.0269089,0.758029,243,81
$,normalized-subsetcard-eq-fixedbandwidth-45.opb,0,-,0.0420457,0.0284736,0.0859784,181,90
$,normalized-vertexcover-grid4x9.opb,0,-,0.0428557,0.0256363,0.0822958,36,73
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-abcdeir.opb,1,3847,0.0401142,0.0265941,0.0794685,87,182
$,normalized-7_7_16.opb,0,-,30.5775,0.036238,30.6573,552,2558
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-EDCBAir.opb,1,-6738,0.0453501,0.0281766,0.0882041,143,308
$,normalized-single-obj-f27-DC2Loss.seq-A-2-2-irabcde.opb,1,728064,0.0433897,0.0226697,0.0804699,199,436
$,normalized-single-obj-f23-DC1Loss.seq-B-2-2-irabcde.opb,1,721792,0.0410667,0.028051,0.0843591,199,436
$,normalized-ECgrid5x90split.opb,0,-,536.439,0.0243823,536.482,901,451
$,normalized-sha1-size128-round21-8.opb,1,-,1987.96,0.0776669,1988.19,3968,7904
$,normalized-vertexcover-grid4x5-hard.opb,0,-,0.0422857,0.0281665,0.0835137,20,41
$,normalized-vertexcover-grid4x25-hard.opb,0,-,0.0500379,0.0289758,0.0930993,100,201
$,normalized-single-obj-f23-DC1Loss.seq-A-2-2-irabcde.opb,1,728064,0.0419597,0.0237202,0.0808455,199,436
$,normalized-single-obj-f26-ACDoubleLoss.seq-B-3-1-irabcde.opb,1,257688,0.0409339,0.0268135,0.0835291,149,337
$,normalized-3_4_1.opb,0,-,0,0.020691,0.0336291,20,69
