status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0669542,0.031776,0.121091,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0038,182,798
$,normalized-4_5_0.opb,0,-,0,0.0225217,0.0361096,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0438364,0.0263046,0.0830191,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,3,66.6667,13,100,0.0039,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1431.26,0.444188,1431.86,3968,7920
*,normalized-sha1-size144-round21-6.opb,5,100,463,100,0.3681,3968,7920
$,normalized-7_7_7.opb,0,-,0.0648707,0.0288682,0.145813,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0047,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6449,0.0563139,40.7592,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0176,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0420083,0.0329875,0.0900148,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,2,50,30,100,0.0039,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0510888,0.0237252,0.0986439,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0045,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,191.811,0.0486784,191.914,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.012,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0424397,0.0314469,0.0913347,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,2,50,116,100,0.0087,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.144238,0.0619114,0.279929,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0195,6435,2146
$,normalized-8_7_20.opb,1,-,0.372362,0.0548844,0.495846,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0127,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0426473,0.0289759,0.0873362,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,3,66.6667,31,100,0.0051,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0922364,0.024754,0.132492,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0042,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.515758,0.131044,0.847674,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0504,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0935497,0.0305736,0.138716,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.004,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0423512,0.0238421,0.0793325,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0031,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.043755,0.0299599,0.0893687,207,460
*,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,4,75,38,100,0.006,207,460
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0444654,0.0268137,0.108172,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0034,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0556387,0.027224,0.09825,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0039,138,277
$,normalized-7_7_12.opb,0,-,0.801179,0.0403142,0.87644,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0064,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,normalized-ECgrid5x70split.opb,0,-,127.415,0.0345562,127.499,701,351
*,normalized-ECgrid5x70split.opb,2,50,1,100,0.0061,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,air02.0.u.opb,0,-,0.282697,341.143,341.619,6774,51
*,air02.0.u.opb,230,100,1663,100,340.938,6774,51
$,normalized-vertexcover-grid4x11.opb,0,-,0.0429267,0.0227057,0.0791691,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0034,44,89
$,normalized-5_7_7.opb,0,-,0.061768,0.0288974,0.112073,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.0037,156,677
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0517572,0.0265932,0.0916478,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0035,78,157
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,32412,0.0503706,0.0269571,0.0916483,137,288
*,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,2,50,26,100,0.0039,137,288
$,normalized-ECgrid5x60split.opb,0,-,288.894,0.0271984,288.941,601,301
*,normalized-ECgrid5x60split.opb,2,50,1,100,0.0057,601,301
$,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,11562,0.0509448,0.0359086,0.105357,263,677
*,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,3,66.6667,62,100,0.0115,263,677
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0578615,0.0287894,0.101633,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.0037,88,177
$,normalized-2_3_4.opb,0,-,0,0.027527,0.0420818,42,161
*,normalized-2_3_4.opb,1,100,17,100,0.0036,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,179222,0.0423114,0.0295703,0.0876471,199,436
*,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,2,50,44,100,0.0044,199,436
$,normalized-sha1-size128-round21-9.opb,1,-,3003.93,0.452036,3004.53,3968,7904
*,normalized-sha1-size128-round21-9.opb,5,100,454,100,0.3698,3968,7904
$,cracpb1.0.s.opb,1,-,0.255028,0.0557779,0.361545,572,145
*,cracpb1.0.s.opb,1,0,0,0,0.0289,572,145
$,normalized-8_6_25.opb,0,-,328.375,0.0629402,328.51,1122,5318
*,normalized-8_6_25.opb,1,0,0,0,0.0167,1122,5318
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,16212,0.0416513,0.0307998,0.0857259,129,262
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,4,75,27,100,0.0043,129,262
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irEDCBA.opb,1,256578,0.0418855,0.0291844,0.104098,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irEDCBA.opb,2,50,30,100,0.004,173,415
$,normalized-6_6_14.opb,0,-,0.73796,0.0391672,0.81275,420,1925
*,normalized-6_6_14.opb,1,0,0,0,0.0078,420,1925
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-EDCBAir.opb,1,-6877,0.0451118,0.0358788,0.0975933,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-EDCBAir.opb,2,50,96,100,0.0091,227,569
$,normalized-vertexcover-grid10x27-hard.opb,0,-,0.339822,0.0303097,0.386933,270,541
*,normalized-vertexcover-grid10x27-hard.opb,1,0,0,0,0.0045,270,541
$,normalized-vertexcover-completegraph-41.opb,0,-,0,0.0298417,0.046536,41,821
*,normalized-vertexcover-completegraph-41.opb,3,100,20,100,0.0062,41,821
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-irabcde.opb,1,95472,0.0414239,0.0270985,0.0825843,137,288
*,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-irabcde.opb,2,50,26,100,0.0038,137,288
$,normalized-ECgrid5x110split.opb,0,-,1812.43,0.0353361,1812.48,1101,551
