status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0705444,0.0270394,0.119718,182,798
*,normalized-6_6_7.opb,2,50,1,100,0.0008,182,798
$,normalized-4_5_0.opb,0,-,0,0.0200837,0.0325459,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0409763,0.0256264,0.0805165,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,2,50,6,100,0.0015,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1171.47,0.0735716,1171.7,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0006,3968,7920
$,normalized-7_7_7.opb,0,-,0.0703672,0.0254485,0.121176,210,929
*,normalized-7_7_7.opb,2,50,1,100,0.0006,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.5918,0.0423665,40.6929,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0409639,0.0264814,0.0835529,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,3,66.6667,20,100,0.0007,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0527175,0.0271026,0.0974146,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0011,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,180.329,0.0474497,180.43,756,3542
*,normalized-8_7_19.opb,2,50,1,100,0.0014,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.045885,0.0295147,0.0919011,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,2,50,12,100,0.0009,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.146303,0.0505068,0.270468,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0014,6435,2146
$,normalized-8_7_20.opb,1,-,0.736218,0.0409669,0.845445,812,3813
*,normalized-8_7_20.opb,2,50,1,100,0.0012,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.041941,0.0224727,0.0782059,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,3,66.6667,12,100,0.0012,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0906242,0.0268585,0.134711,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0013,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.512268,0.0801298,0.79352,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0049,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0941231,0.0241298,0.132211,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0015,152,305
