status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0644404,0.0239902,0.111719,182,798
*,normalized-6_6_7.opb,1,0,0,0,0,182,798
$,normalized-4_5_0.opb,0,-,0,0.0291676,0.0413121,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0450385,0.0197034,0.102033,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,0,0,0,0,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,657.786,0.0823301,658.025,3968,7920
*,normalized-sha1-size144-round21-6.opb,3,66.6667,170,100,0.0013,3968,7920
$,normalized-7_7_7.opb,0,-,0.0642339,0.0302123,0.118226,210,929
*,normalized-7_7_7.opb,1,0,0,0,0,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6678,0.0358956,40.7634,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0002,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0434752,0.0282915,0.0883241,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,0,0,0,0.0001,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0526362,0.018303,0.0877389,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,191.457,0.0457054,191.557,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0452119,0.0271145,0.0882955,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,0,0,0,0.0001,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.144609,0.0452555,0.262731,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0,6435,2146
$,normalized-8_7_20.opb,1,-,0.372745,0.0491956,0.490885,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0422702,0.0251098,0.0830554,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,0,0,0,0.0001,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.092458,0.0250784,0.13267,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.512716,0.0859726,0.801561,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0923408,0.0241571,0.130838,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0430979,0.020949,0.0764328,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0001,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.0460035,0.0259957,0.0890402,207,460
*,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,0,0,0,0.0001,207,460
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0442079,0.0265847,0.084399,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0001,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0543606,0.0256784,0.0941573,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0,138,277
$,normalized-7_7_12.opb,0,-,0.802884,0.0310011,0.867029,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
