status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0680469,0.0248265,0.115552,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0033,182,798
$,normalized-4_5_0.opb,0,-,0,0.0235319,0.0366303,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0430723,0.0285058,0.0861912,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,0,0,0,0.0027,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1173.25,0.0780357,1173.48,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0078,3968,7920
$,normalized-7_7_7.opb,0,-,0.0665814,0.0318746,0.122476,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0031,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.673,0.0402575,40.7722,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0058,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0415521,0.0260338,0.0851243,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,0,0,0,0.0022,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0531763,0.0270878,0.0985443,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0034,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,362.619,0.0444737,362.717,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0051,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0462807,0.0252478,0.0882284,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,0,0,0,0.002,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145557,0.0623613,0.282232,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,2,50,66,100,0.0179,6435,2146
$,normalized-8_7_20.opb,1,-,0.374118,0.0466262,0.492319,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0052,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0436511,0.025892,0.0838126,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,0,0,0,0.0026,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0908978,0.0242184,0.131019,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0026,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.52174,0.163798,0.888906,20795,4160
*,normalized-sumineqArity5houseP064.opb,2,50,65,100,0.0528,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0925848,0.0236704,0.132113,152,305
