status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0664149,0.0313372,0.119694,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0029,182,798
$,normalized-4_5_0.opb,0,-,0,0.022244,0.0361261,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0427589,0.0257368,0.0811709,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,0,0,0,0.0019,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1179.84,0.0755552,1180.07,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0037,3968,7920
$,normalized-7_7_7.opb,0,-,0.0679928,0.0326685,0.12729,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0033,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6104,0.0414708,40.7102,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0032,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0430791,0.0206669,0.0783092,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,0,0,0,0.0014,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0527141,0.0266411,0.0970178,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0017,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,190.713,0.0418313,190.811,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0031,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0447539,0.0240625,0.0870644,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,0,0,0,0.0012,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.144117,0.0426678,0.261914,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0016,6435,2146
$,normalized-8_7_20.opb,1,-,0.372471,0.0470685,0.487954,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0031,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0426078,0.0312049,0.0882708,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,0,0,0,0.0016,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0917659,0.0240524,0.131055,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0018,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.513539,0.080594,0.798157,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0016,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0912804,0.0287754,0.135343,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0019,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0427916,0.0292532,0.084581,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0036,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.0427451,0.0297185,0.0870758,207,460
*,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,0,0,0,0.001,207,460
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0429524,0.0258547,0.0816432,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0032,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0568863,0.0258249,0.0979137,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.002,138,277
$,normalized-7_7_12.opb,0,-,0.802689,0.0314788,0.868203,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0029,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,normalized-ECgrid5x70split.opb,0,-,154.324,0.0261116,154.368,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0035,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,air02.0.u.opb,0,-,0.359901,0.867967,1.41537,6774,51
*,air02.0.u.opb,1,100,50,74,0.7549,6774,51
$,normalized-vertexcover-grid4x11.opb,0,-,0.0419088,0.0255039,0.080099,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0023,44,89
$,normalized-5_7_7.opb,0,-,0.0598465,0.028774,0.10758,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.0028,156,677
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0507048,0.0241968,0.0900292,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0024,78,157
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,32412,0.0433753,0.0264512,0.0840874,137,288
*,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,0,0,0,0.0017,137,288
$,normalized-ECgrid5x60split.opb,0,-,206.785,0.0259471,206.826,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.0032,601,301
$,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,11562,0.0542066,0.0230589,0.0956855,263,677
*,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,0,0,0,0.0012,263,677
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0574188,0.02301,0.0943417,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.0019,88,177
$,normalized-2_3_4.opb,0,-,0.0440855,0.0294562,0.0879041,42,161
*,normalized-2_3_4.opb,1,0,0,0,0.0033,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,179222,0.041651,0.0240151,0.0818385,199,436
*,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,0,0,0,0.0012,199,436
$,normalized-sha1-size128-round21-9.opb,1,-,3218.97,0.0794823,3219.2,3968,7904
*,normalized-sha1-size128-round21-9.opb,1,0,0,0,0.0036,3968,7904
$,cracpb1.0.s.opb,1,-,0.128598,0.0418403,0.198135,572,145
*,cracpb1.0.s.opb,1,100,89,100,0.0055,572,145
$,normalized-8_6_25.opb,0,-,329.628,0.055058,329.757,1122,5318
*,normalized-8_6_25.opb,1,0,0,0,0.0032,1122,5318
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,16212,0.0423571,0.0221239,0.0797733,129,262
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,0,0,0,0.0015,129,262
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irEDCBA.opb,1,256578,0.0429637,0.0222425,0.080392,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irEDCBA.opb,1,0,0,0,0.0014,173,415
$,normalized-6_6_14.opb,0,-,0.74046,0.0344631,0.809729,420,1925
*,normalized-6_6_14.opb,1,0,0,0,0.0029,420,1925
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-EDCBAir.opb,1,-6877,0.0468247,0.0289304,0.0937787,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-EDCBAir.opb,1,0,0,0,0.0013,227,569
$,normalized-vertexcover-grid10x27-hard.opb,0,-,0.341916,0.0252218,0.384994,270,541
*,normalized-vertexcover-grid10x27-hard.opb,1,0,0,0,0.0016,270,541
$,normalized-vertexcover-completegraph-41.opb,0,-,0.0427899,0.0272479,0.0896749,41,821
*,normalized-vertexcover-completegraph-41.opb,1,0,0,0,0.0012,41,821
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-irabcde.opb,1,95472,0.0413911,0.0224131,0.0771439,137,288
*,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-irabcde.opb,1,0,0,0,0.0016,137,288
$,normalized-ECgrid5x110split.opb,0,-,556.79,0.0229958,556.832,1101,551
*,normalized-ECgrid5x110split.opb,1,0,0,0,0.003,1101,551
$,diamond.0.d.opb,0,-,0.0279956,0.0202441,0.0591275,2,4
*,diamond.0.d.opb,1,0,0,0,0.0024,2,4
