status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0681344,0.0277943,0.117822,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0018,182,798
$,normalized-4_5_0.opb,0,-,0,0.0226813,0.0353596,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.0430064,0.0233148,0.0796795,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,0,0,0,0.0024,87,182
$,normalized-sha1-size144-round21-6.opb,1,-,1776.26,0.0771843,1776.49,3968,7920
*,normalized-sha1-size144-round21-6.opb,2,50,48,100,0.0028,3968,7920
$,normalized-7_7_7.opb,0,-,0.0693085,0.0283403,0.122594,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0019,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7111,0.0429263,40.8131,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0021,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.0415058,0.0278001,0.0851736,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,0,0,0,0.002,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.0516882,0.0228225,0.0929064,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0023,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,190.381,0.0439647,190.481,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.002,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.0456707,0.0241641,0.0880282,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,0,0,0,0.0017,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.146072,0.0473809,0.268151,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0021,6435,2146
$,normalized-8_7_20.opb,1,-,0.372218,0.0468536,0.488742,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0021,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.0431915,0.0269475,0.0864693,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,0,0,0,0.0023,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.093828,0.0285031,0.139832,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0026,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.51605,0.0867158,0.806208,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0022,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0933125,0.0237284,0.133281,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0026,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0424597,0.0261713,0.0829851,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0028,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.0459651,0.024781,0.0865,207,460
*,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,0,0,0,0.0019,207,460
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0438375,0.0359889,0.0940933,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0026,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0565978,0.0233837,0.0937139,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0026,138,277
$,normalized-7_7_12.opb,0,-,0.801602,0.0349315,0.870879,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0018,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,normalized-ECgrid5x70split.opb,0,-,158.494,0.0271077,158.54,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0022,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,air02.0.u.opb,0,-,0.507409,0.0661181,0.773529,6774,51
*,air02.0.u.opb,1,0,0,0,0.0023,6774,51
$,normalized-vertexcover-grid4x11.opb,0,-,0.042786,0.0280824,0.0843579,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0027,44,89
$,normalized-5_7_7.opb,0,-,0.0625998,0.0266562,0.110599,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.0018,156,677
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0520247,0.0271262,0.0945716,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0028,78,157
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,32412,0.0408388,0.0272667,0.081864,137,288
*,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,0,0,0,0.0022,137,288
$,normalized-ECgrid5x60split.opb,0,-,206.683,0.0260901,206.726,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.0023,601,301
$,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,11562,0.0511212,0.023479,0.0944031,263,677
*,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,0,0,0,0.0018,263,677
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0596071,0.0267372,0.101591,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.0027,88,177
$,normalized-2_3_4.opb,0,-,0.0426957,0.0279689,0.0835037,42,161
*,normalized-2_3_4.opb,1,0,0,0,0.0025,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-sha1-size160-round21-2.opb,1,-,3028.47,0.0786349,3028.7,3968,7936
*,normalized-sha1-size160-round21-2.opb,2,50,32,100,0.0027,3968,7936
$,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,179222,0.0408693,0.0258765,0.0817591,199,436
*,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,0,0,0,0.0017,199,436
$,normalized-sha1-size128-round21-9.opb,1,-,2875.47,0.0734687,2875.7,3968,7904
*,normalized-sha1-size128-round21-9.opb,2,50,64,100,0.0029,3968,7904
$,cracpb1.0.s.opb,1,-,0.261007,0.0313029,0.321698,572,145
*,cracpb1.0.s.opb,1,0,0,0,0.002,572,145
$,normalized-8_6_25.opb,0,-,327.704,0.052068,327.828,1122,5318
*,normalized-8_6_25.opb,1,0,0,0,0.002,1122,5318
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,16212,0.0434754,0.0254691,0.0816201,129,262
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,0,0,0,0.0021,129,262
