status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.07215,0.00049,0.08506,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.00050,182,798
$,normalized-4_5_0.opb,0,-,0.02810,0.00005,0.03998,20,69
*,normalized-4_5_0.opb,1,0,0,0,0.00000,20,69
$,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,7150,0.04274,0.00255,0.08476,87,182
*,normalized-single-obj-f18-AC1Loss.seq-A-2-combined-irEDCBA.opb,1,1,65,100.0,0.00260,87,182
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.07403,0.00060,0.08724,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.00060,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.66941,0.00567,40.69134,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.00570,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,257688,0.04437,0.00288,0.05885,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irabcde.opb,1,1,124,100.0,0.00290,173,415
$,normalized-vertexcover-grid10x25.opb,0,-,0.05429,0.00069,0.06689,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.00070,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-8_7_19.opb,0,-,200.14630,0.00257,200.16455,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.00260,756,3542
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,890573,0.04841,0.00308,0.06147,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-1-irEDCBA.opb,1,1,168,100.0,0.00310,227,569
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.14513,0.00042,0.16085,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.00040,6435,2146
$,normalized-8_7_20.opb,1,-,0.08536,0.00268,0.10492,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.00270,812,3813
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,93672,0.04415,0.00309,0.05643,143,308
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-2-combined-irabcde.opb,1,1,106,100.0,0.00310,143,308
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.09374,0.00053,0.10528,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.00050,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.51336,0.00106,0.54064,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.00110,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.09369,0.00038,0.10375,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.00040,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.04315,0.00001,0.06980,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.00000,141,70
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,-4878,0.04642,0.00299,0.06222,207,460
*,normalized-single-obj-f27-DC2Loss.seq-A-2-1-EDCBAir.opb,1,1,152,100.0,0.00300,207,460
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.04935,0.00002,0.06204,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.00000,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.05566,0.00031,0.06490,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.00030,138,277
$,normalized-7_7_12.opb,0,-,0.81288,0.00113,0.82861,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.00110,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,normalized-ECgrid5x70split.opb,0,-,155.50202,0.00026,155.51413,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.00030,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,air02.0.u.opb,0,-,0.50353,0.00027,0.52719,6774,51
*,air02.0.u.opb,1,0,0,0,0.00030,6774,51
$,normalized-vertexcover-grid4x11.opb,0,-,0.04294,0.00010,0.05266,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.00010,44,89
$,normalized-5_7_7.opb,0,-,0.06465,0.00043,0.07778,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.00040,156,677
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.05072,0.00018,0.06174,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.00020,78,157
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,32412,0.04361,0.00268,0.05738,137,288
*,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-abcdeir.opb,1,1,100,100.0,0.00270,137,288
$,normalized-ECgrid5x60split.opb,0,-,205.79066,0.00023,205.80125,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.00020,601,301
$,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,11562,0.05588,0.00327,0.07165,263,677
*,normalized-single-obj-f20-ACTotalLoss.seq-B-2-combined-abcdeir.opb,1,1,194,100.0,0.00330,263,677
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.05515,0.00021,0.06542,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.00020,88,177
$,normalized-2_3_4.opb,0,-,0.04114,0.00252,0.05384,42,161
*,normalized-2_3_4.opb,1,1,36,100.0,0.00250,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,179222,0.04354,0.00340,0.05852,199,436
*,normalized-single-obj-f23-DC1Loss.seq-A-2-2-abcdeir.opb,1,1,144,100.0,0.00340,199,436
$,normalized-sha1-size128-round21-9.opb,1,-,278.61794,0.00038,278.64140,3968,7904
*,normalized-sha1-size128-round21-9.opb,1,0,0,0,0.00040,3968,7904
$,cracpb1.0.s.opb,1,-,0.25911,0.00003,0.26859,572,145
*,cracpb1.0.s.opb,1,0,0,0,0.00000,572,145
$,normalized-8_6_25.opb,0,-,350.13504,0.00383,350.15634,1122,5318
*,normalized-8_6_25.opb,1,0,0,0,0.00380,1122,5318
$,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,16212,0.04301,0.00272,0.05708,129,262
*,normalized-single-obj-f28-AC_ESSLoss.seq-B-3-1-abcdeir.opb,1,1,96,100.0,0.00270,129,262
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irEDCBA.opb,1,256578,0.04466,0.00292,0.05859,173,415
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-2-irEDCBA.opb,1,1,124,100.0,0.00290,173,415
$,normalized-6_6_14.opb,0,-,1.07131,0.00124,1.08822,420,1925
*,normalized-6_6_14.opb,1,0,0,0,0.00120,420,1925
$,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-EDCBAir.opb,1,-6877,0.04852,0.00306,0.06152,227,569
*,normalized-single-obj-f19-ACTotalLoss.seq-A-3-2-EDCBAir.opb,1,1,168,100.0,0.00310,227,569
$,normalized-vertexcover-grid10x27-hard.opb,0,-,0.34447,0.00078,0.35596,270,541
*,normalized-vertexcover-grid10x27-hard.opb,1,0,0,0,0.00080,270,541
$,normalized-vertexcover-completegraph-41.opb,0,-,0.02670,0.00454,0.04284,41,821
*,normalized-vertexcover-completegraph-41.opb,1,1,41,100.0,0.00450,41,821
$,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-irabcde.opb,1,95472,0.04345,0.00301,0.10494,137,288
*,normalized-single-obj-f28-AC_ESSLoss.seq-A-2-2-irabcde.opb,1,1,100,100.0,0.00300,137,288
$,normalized-ECgrid5x110split.opb,0,-,556.59386,0.00042,556.60596,1101,551
*,normalized-ECgrid5x110split.opb,1,0,0,0,0.00040,1101,551
$,diamond.0.d.opb,0,-,0.02867,0.00001,0.03651,2,4
*,diamond.0.d.opb,1,0,0,0,0.00000,2,4
$,normalized-3_5_3.opb,0,-,0.02633,0.00011,0.03860,42,161
*,normalized-3_5_3.opb,1,0,0,0,0.00010,42,161
$,normalized-3col-almost3reg-l060-r059-n1.opb,0,-,3654.11752,0.00812,3654.14354,3282,6986
*,normalized-3col-almost3reg-l060-r059-n1.opb,1,0,0,0,0.00810,3282,6986
$,normalized-ECgrid5x150split.opb,0,-,1363.92345,0.00063,1363.93551,1501,751
*,normalized-ECgrid5x150split.opb,1,0,0,0,0.00060,1501,751
$,normalized-ECrand4regsplit-v080-n1.opb,0,-,0.07017,0.00007,0.07954,159,80
*,normalized-ECrand4regsplit-v080-n1.opb,1,0,0,0,0.00010,159,80
$,normalized-rand6reg-v041-n2.opb,0,-,0.29389,0.00001,0.30452,123,41
*,normalized-rand6reg-v041-n2.opb,1,0,0,0,0.00000,123,41
$,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-combined-abcdeir.opb,1,37833,0.04465,0.00295,0.05916,191,475
*,normalized-single-obj-f26-ACDoubleLoss.seq-A-2-combined-abcdeir.opb,1,1,142,100.0,0.00290,191,475
$,normalized-single-obj-f27-DC2Loss.seq-B-2-combined-EDCBAir.opb,1,-39178,0.04988,0.00316,0.09829,211,476
*,normalized-single-obj-f27-DC2Loss.seq-B-2-combined-EDCBAir.opb,1,1,156,100.0,0.00320,211,476
$,normalized-3_4_7.opb,0,-,0.05257,0.00027,0.07506,110,465
*,normalized-3_4_7.opb,1,0,0,0,0.00030,110,465
$,normalized-ECrand4regsplit-v070-n1.opb,0,-,0.09289,0.00005,0.10458,139,70
*,normalized-ECrand4regsplit-v070-n1.opb,1,0,0,0,0.00010,139,70
&,normalized-5_6_33.opb,timeout,-1,-1,-1,-1,1482,7073
$,normalized-7_7_11.opb,0,-,0.16843,0.00100,0.18165,342,1553
*,normalized-7_7_11.opb,1,0,0,0,0.00100,342,1553
$,normalized-single-obj-f18-AC1Loss.seq-A-2-1-irabcde.opb,1,7696,0.04239,0.00260,0.05580,86,178
*,normalized-single-obj-f18-AC1Loss.seq-A-2-1-irabcde.opb,1,1,64,100.0,0.00260,86,178
$,normalized-3_6_2.opb,0,-,0.02696,0.00007,0.03852,30,110
*,normalized-3_6_2.opb,1,0,0,0,0.00010,30,110
$,normalized-vertexcover-grid6x13.opb,0,-,0.04423,0.00019,0.05671,78,157
*,normalized-vertexcover-grid6x13.opb,1,0,0,0,0.00020,78,157
$,normalized-single-obj-f20-ACTotalLoss.seq-B-2-1-irabcde.opb,1,202398,0.04942,0.00308,0.06734,253,637
*,normalized-single-obj-f20-ACTotalLoss.seq-B-2-1-irabcde.opb,1,1,184,100.0,0.00310,253,637
$,normalized-subsetcard-geq-random4regular-60.opb,0,-,0.04377,0.00001,0.05289,241,120
*,normalized-subsetcard-geq-random4regular-60.opb,1,0,0,0,0.00000,241,120
$,normalized-single-obj-f23-DC1Loss.seq-A-2-combined-irabcde.opb,1,728064,0.04383,0.00309,0.05774,211,476
