status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,1,-,0.00000,0.00051,0.00000,182,798
*,normalized-6_6_7.opb,1,0,0,0.00000,0.00050,182,798
$,normalized-6_6_7.opb,0,-,0.07210,0.03384,0.12231,182,798
*,normalized-6_6_7.opb,3,0.00000,0,0.00000,0.00050,182,798
*,normalized-6_6_7.opb,3,0.00000,0,0.00000,0.00120,182,798
*,normalized-6_6_7.opb,3,0.00000,0,0.00000,0.00110,182,798
*,normalized-6_6_7.opb,3,33.33333,1,100.00000,0.00080,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00000,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00250,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00120,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00260,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00000,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00220,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00010,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,-,0.00000,0.00002,0.00000,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,345,344
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.04188,0.03089,0.08364,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00120,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00160,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00160,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00140,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00020,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,50.00000,172,100.00000,0.00280,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00200,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00260,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00020,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00080,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.00000,0.00001,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,149,128
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.05013,0.02595,0.08700,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00150,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00170,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00170,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00170,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00200,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00200,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00260,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00080,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,149,128
$,normalized-4_5_0.opb,1,-,0.00000,0.00005,0.00000,20,69
*,normalized-4_5_0.opb,1,0,0,0.00000,0.00010,20,69
$,normalized-4_5_0.opb,0,-,0.00000,0.01680,0.02475,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,1,-,0.00000,0.00062,0.00000,210,929
*,normalized-7_7_7.opb,1,0,0,0.00000,0.00060,210,929
$,normalized-7_7_7.opb,0,-,0.06807,0.03211,0.11801,210,929
*,normalized-7_7_7.opb,3,0.00000,0,0.00000,0.00000,210,929
*,normalized-7_7_7.opb,3,0.00000,0,0.00000,0.00090,210,929
*,normalized-7_7_7.opb,3,0.00000,0,0.00000,0.00100,210,929
*,normalized-7_7_7.opb,3,33.33333,1,100.00000,0.00050,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00000,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00270,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00090,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00260,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00000,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00220,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00000,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,1,-,0.00000,0.00601,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0.00000,0.00600,2484,5292
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.78358,0.06875,40.90658,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,2,0.00000,0,0.00000,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,2,0.00000,0,0.00000,0.00280,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,2,0.00000,0,0.00000,0.00360,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,2,0.00000,0,0.00000,0.00020,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00020,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00550,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00240,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00600,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00010,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.01560,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0.00000,0,0.00000,0.00010,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.00000,0.31464,0.00000,24684,81723
*,normalized-j12035_4-sat.opb,1,1,14518,1.00000,0.31460,24684,81723
$,normalized-j12035_4-sat.opb,1,-,0.42908,6.01246,7.20609,24684,81723
*,normalized-j12035_4-sat.opb,45,2.22222,25,100.00000,0.00020,24684,81723
*,normalized-j12035_4-sat.opb,45,20.00000,38,100.00000,0.17180,24684,81723
*,normalized-j12035_4-sat.opb,45,2.22222,42,100.00000,0.14790,24684,81723
*,normalized-j12035_4-sat.opb,45,60.00000,8912,100.00000,0.12440,24684,81723
*,normalized-j12035_4-sat.opb,5,0.00000,0,0.00000,0.00130,24684,81723
*,normalized-j12035_4-sat.opb,5,100.00000,982,100.00000,0.03220,24684,81723
*,normalized-j12035_4-sat.opb,5,0.00000,0,0.00000,0.00000,24684,81723
*,normalized-j12035_4-sat.opb,6,16.66667,2,100.00000,0.07330,24684,81723
*,normalized-j12035_4-sat.opb,11,63.63636,948,97.46835,0.01220,24684,81723
*,normalized-j12035_4-sat.opb,12,100.00000,135,100.00000,5.08740,24684,81723
*,normalized-j12035_4-sat.opb,2,0.00000,0,0.00000,0.00020,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
&,clauses-2.opb,timeout,-1,-1,-1,-1,75527,272784
$,normalized-j9040_1-unsat.opb,1,-,0.00000,0.21662,0.00000,17290,59721
*,normalized-j9040_1-unsat.opb,1,1,9492,1.00000,0.21660,17290,59721
$,normalized-j9040_1-unsat.opb,0,-,0.00000,0.40586,0.70728,17290,59721
*,normalized-j9040_1-unsat.opb,5,0.00000,0,0.00000,0.00000,17290,59721
*,normalized-j9040_1-unsat.opb,5,60.00000,31,100.00000,0.05750,17290,59721
*,normalized-j9040_1-unsat.opb,5,0.00000,0,0.00000,0.05950,17290,59721
*,normalized-j9040_1-unsat.opb,5,100.00000,4218,100.00000,0.02840,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,-,0.00000,0.00001,0.00000,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,75,200
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.09415,0.02901,0.13237,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00150,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00170,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00170,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00150,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00220,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00200,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00270,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00060,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.00000,0.00026,0.00000,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0.00000,0.00030,169,101
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.12789,0.03479,0.17391,169,101
*,normalized-t2001.13queen13.1110970277.opb,4,0.00000,0,0.00000,0.00150,169,101
*,normalized-t2001.13queen13.1110970277.opb,4,0.00000,0,0.00000,0.00180,169,101
*,normalized-t2001.13queen13.1110970277.opb,4,0.00000,0,0.00000,0.00200,169,101
*,normalized-t2001.13queen13.1110970277.opb,4,0.00000,0,0.00000,0.00160,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00000,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,50.00000,28,100.00000,0.00310,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00160,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00310,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00000,169,101
*,normalized-t2001.13queen13.1110970277.opb,2,0.00000,0,0.00000,0.00740,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100.00000,26,100.00000,0.00010,169,101
$,normalized-vertexcover-grid10x25.opb,1,-,0.00000,0.00076,0.00000,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0.00000,0.00080,250,501
$,normalized-vertexcover-grid10x25.opb,0,-,0.05349,0.02982,0.09530,250,501
*,normalized-vertexcover-grid10x25.opb,2,0.00000,0,0.00000,0.00110,250,501
*,normalized-vertexcover-grid10x25.opb,2,0.00000,0,0.00000,0.00160,250,501
*,normalized-vertexcover-grid10x25.opb,2,0.00000,0,0.00000,0.00170,250,501
*,normalized-vertexcover-grid10x25.opb,2,0.00000,0,0.00000,0.00130,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00000,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00240,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00200,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00300,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00000,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00230,250,501
*,normalized-vertexcover-grid10x25.opb,1,0.00000,0,0.00000,0.00000,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.00000,0.00002,0.00000,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,234,193
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.05206,0.02840,0.09347,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00140,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00170,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00180,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00170,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00260,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00200,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00270,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00200,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,-,0.00000,0.00000,0.00000,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,60,160
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.07146,0.02706,0.10761,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00160,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00170,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00180,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00170,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00260,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00160,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00270,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00050,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,60,160
$,normalized-8_7_19.opb,1,-,0.00000,0.00256,0.00000,756,3542
*,normalized-8_7_19.opb,1,0,0,0.00000,0.00260,756,3542
$,normalized-8_7_19.opb,0,-,180.63998,0.06660,180.75375,756,3542
*,normalized-8_7_19.opb,3,0.00000,0,0.00000,0.00000,756,3542
*,normalized-8_7_19.opb,3,0.00000,0,0.00000,0.00350,756,3542
*,normalized-8_7_19.opb,3,0.00000,0,0.00000,0.00350,756,3542
*,normalized-8_7_19.opb,3,33.33333,1,100.00000,0.00130,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00010,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00520,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00000,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00480,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00010,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.01040,756,3542
*,normalized-8_7_19.opb,1,0.00000,0,0.00000,0.00000,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,1,-,0.00000,0.07951,0.00000,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,1,8125,1.00000,0.07950,9051,25833
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.35824,23.85219,24.46802,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,26,11.53846,12,100.00000,0.00010,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,26,15.38462,914,100.00000,0.03990,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,26,0.00000,0,0.00000,0.03820,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,26,3.84615,1,100.00000,0.03570,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,6,0.00000,0,0.00000,0.00340,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,6,100.00000,1109,100.00000,0.12450,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,6,0.00000,0,0.00000,0.00240,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,6,0.00000,0,0.00000,0.16120,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,14,50.00000,870,80.22989,0.01320,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,13,100.00000,2004,100.00000,23.38130,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0.00000,0,0.00000,0.00000,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,-,0.00000,0.00001,0.00000,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,93,248
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.91888,0.03114,0.95971,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00140,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00170,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00170,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,2,0.00000,0,0.00000,0.00150,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00350,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00140,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00360,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00070,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,93,248
$,normalized-sumineqArity3pyramidP0064.opb,1,-,0.00000,0.00041,0.00000,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0.00000,0.00040,6435,2146
