,solvedIns,solveTime,preTime,decfasterNum,up mean(%),up median(%),decslowerNum,down mean(%),down median(%),nCall,nApplied(%),red%
roundingSat,1683,21.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PureLit,1666,20.266,0.306,334,40.58,35.11,109,108.72,21.17,2.34,24.16,9.70
ParallelRow,1644,21.870,0.317,468,32.42,24.79,275,356.48,47.57,1.00,42.41,15.58
CoeffStrengthen,1643,21.448,0.293,63,25.74,19.54,71,29.14,20.43,1.06,3.66,19.13
SimplifyIneq,1643,21.324,0.317,63,18.57,16.39,66,59.15,1.27,1.04,3.41,2.88
DualFix,1642,21.304,0.274,17,NA,NA,58,NA,NA,1.00,0.00,NA
Sparsify,1642,21.167,0.271,18,29.84,29.84,58,NA,NA,1.00,0.06,0.17
defaultPaPILO,1642,21.202,0.269,17,NA,NA,58,NA,NA,NA,NA,NA
Stuffing,1639,19.888,0.272,24,59.69,66.27,67,2034.68,298.80,1.01,1.49,2.34
HBR,1639,21.206,0.684,185,31.52,25.83,273,72.44,27.21,1.00,24.89,0.18
Doubletoneq,1638,21.095,0.270,37,40.45,25.16,90,893.70,83.08,1.05,3.48,0.57
SimpleProbing,1638,21.089,0.270,22,48.94,48.22,69,7020.08,291.91,1.02,1.37,2.48
ColSingleton,1636,20.760,0.269,24,59.59,66.26,70,2029.26,299.79,1.01,1.50,2.34
all,1626,19.372,5.918,733,46.36,37.14,365,387.15,33.67,3.30,20.07,6.57
Probing,1615,17.956,8.943,270,53.93,48.30,176,916.60,42.12,1.86,22.92,30.84
Propagation,1613,18.982,0.286,65,68.56,91.15,99,1317.75,153.87,1.13,5.05,14.37
