status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0668572,0.0251722,0.114611,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0432815,0.0211408,0.0826282,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0477298,0.025893,0.0930558,149,128
$,normalized-4_5_0.opb,0,-,0,0.0179952,0.0335317,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0670356,0.029668,0.122264,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6585,0.0375806,40.7565,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.712533,0.458526,2.07712,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.35121,1.26969,6.06118,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0936854,0.0270306,0.137374,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0616883,0.0240091,0.106154,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0543584,0.0273553,0.0995102,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0512822,0.0267312,0.0993984,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0724118,0.0244298,0.112219,60,160
$,normalized-8_7_19.opb,0,-,190.609,0.0417145,190.708,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419451,0.144037,0.834702,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.914679,0.0229755,0.953414,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.14612,0.0419146,0.262286,6435,2146
$,normalized-8_7_20.opb,1,-,0.367883,0.0405876,0.480255,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0922616,0.022281,0.130658,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.514656,0.0731214,0.792323,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0942932,0.0238986,0.133746,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0422725,0.0236702,0.0807787,141,70
$,normalized-107.opb,1,-,8.54061,1.19389,13.0483,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0506204,0.025722,0.133296,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.4776,0.0950505,62.8067,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0726279,0.0234947,0.116913,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0402057,0.0233,0.0794114,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.045603,0.0180435,0.0793386,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0541065,0.0243545,0.0925658,138,277
$,normalized-7_7_12.opb,0,-,0.800914,0.0272746,0.866061,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,0.997064,1.63515,7.10755,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0437682,0.0220167,0.0835078,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.150901,0.0331905,0.237006,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.5259,0.332139,82.5812,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.125952,0.0303688,0.210208,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.31229,0.0310239,1.38904,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.1961,0.0581251,81.4161,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0762267,0.0231451,0.114509,78,208
$,normalized-ECgrid5x70split.opb,0,-,154.407,0.0253259,154.451,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0410565,0.0231646,0.0793959,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.134693,0.0249124,0.173924,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0418585,0.0288462,0.0854386,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.1544,0.391146,16.0929,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.035,0.026825,131.078,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.62531,0.0202496,3.66147,117,312
$,normalized-5_7_7.opb,0,-,0.0632897,0.0293115,0.115326,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,68.9494,2.81186,78.1718,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.5149,0.0822349,78.8007,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.89,0.751825,83.359,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0511717,0.0187968,0.0836732,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,120.244,3.75444,134.912,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,209.48,0.0248143,209.524,601,301
$,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.492301,0.0285344,0.53718,105,280
$,normalized-j1204_7-sat.opb,1,-,0.211487,0.337218,1.17664,19844,62356
$,normalized-pigeon-cardinality-75-70.opb,0,-,0.0729147,0.0328408,0.181779,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
$,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.118328,0.0477955,0.304446,2280,1636
$,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0452376,0.0238673,0.0865808,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0571592,0.0215175,0.0947503,88,177
$,itox_vc909.opb,1,-,0.770145,1.58139,6.56637,112115,327768
$,normalized-2_3_4.opb,0,-,0.044013,0.018469,0.0781202,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-t3002.11tsp11.1900670167.opb,0,-,0.994642,0.034288,1.07512,231,2707
&,rbsat-v945c61409g10.opb,timeout,-1,-1,-1,-1,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.33494,0.0853168,0.640821,257,7375
$,normalized-pigeon-cardinality-81-80.opb,0,-,0.0892325,0.0367559,0.186236,6480,161
&,normalized-sha1-size128-round21-9.opb,timeout,-1,-1,-1,-1,3968,7904
$,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.165111,0.0245503,0.205501,72,192
$,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,-,0.0547414,0.0245275,0.10103,293,236
$,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.210534,0.0241039,0.25036,105,280
$,normalized-8_6_25.opb,0,-,327.23,0.0475234,327.353,1122,5318
$,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.37547,0.0216689,0.412706,78,208
