status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0678664,0.029999,0.118656,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0008,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0447652,0.0235451,0.0857547,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0015,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0496831,0.0210345,0.0890138,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0018,149,128
$,normalized-4_5_0.opb,0,-,0,0.0215711,0.0389539,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0647922,0.0280981,0.119005,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0007,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6312,0.0432586,40.7336,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0016,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.714531,0.488311,2.10728,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0258,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.38462,1.39468,6.22222,75527,272784
*,clauses-2.opb,1,0,0,0,0.0964,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0956495,0.0253944,0.135321,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0637835,0.0215877,0.106059,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0016,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0528774,0.0273562,0.0989462,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0014,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0517787,0.0250519,0.0970344,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0014,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0721271,0.0239615,0.110579,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,60,160
$,normalized-8_7_19.opb,0,-,193.181,0.0374708,193.273,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0014,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419785,0.153549,0.839816,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,2,50,892,100,0.011,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.913644,0.0195346,0.949627,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145632,0.0447406,0.265814,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0016,6435,2146
$,normalized-8_7_20.opb,1,-,0.371193,0.0439446,0.487748,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0014,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0912823,0.0261452,0.133454,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0012,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.514595,0.0825542,0.798669,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0044,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0952787,0.0251847,0.14135,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0016,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0402496,0.0263336,0.0825289,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0014,141,70
$,normalized-107.opb,1,-,8.52411,1.33048,13.1545,10238,224043
*,normalized-107.opb,1,0,0,0,0.0907,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0502053,0.0244578,0.101778,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0012,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.4585,0.0978197,62.7913,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0052,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0686357,0.0279761,0.121945,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0013,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0405455,0.0243807,0.0785195,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0015,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0446321,0.02529,0.0858793,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0016,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.055482,0.0298998,0.101344,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0016,138,277
$,normalized-7_7_12.opb,0,-,0.803422,0.0315387,0.869386,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0007,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.00707,1.8175,7.31948,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.1236,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0417721,0.024241,0.0830815,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0014,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.152194,0.0352186,0.240386,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0011,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,82.0951,0.349328,83.171,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0251,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.126617,0.0318055,0.211739,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0011,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.31422,0.0337846,1.39169,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0011,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.1922,0.0630894,81.4148,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0052,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0769878,0.0230467,0.114648,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,78,208
$,normalized-ECgrid5x70split.opb,0,-,155.32,0.0251131,155.364,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0011,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0412356,0.0244359,0.0806126,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0018,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.133914,0.0204969,0.170045,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0421315,0.0262475,0.0835436,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0017,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.1506,0.417372,16.154,22022,69222
*,normalized-j1208_10-unsat.opb,1,0,0,0,0.0218,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.349,0.028736,131.394,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.61615,0.0331368,3.66566,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0013,117,312
$,normalized-5_7_7.opb,0,-,0.0618347,0.0280439,0.113181,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.0008,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,69.2873,3.0291,78.6832,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,0,0,0,0.2343,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.4645,0.0911636,78.7526,7004,7212
*,normalized-TateBritain_K103.opb,1,0,0,0,0.004,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.7825,0.837159,83.3392,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.0618,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0498844,0.0262565,0.0910866,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0016,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,121.783,4.02043,136.648,184866,874988
*,uts-l06-ipc5-h34-unknown.opb,1,0,0,0,0.3168,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,208.205,0.0308735,208.252,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.001,601,301
$,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.491814,0.0241933,0.532847,105,280
*,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,105,280
$,normalized-j1204_7-sat.opb,1,-,0.207637,0.352618,1.19349,19844,62356
*,normalized-j1204_7-sat.opb,1,0,0,0,0.0188,19844,62356
$,normalized-pigeon-cardinality-75-70.opb,0,-,0.0719008,0.0318199,0.151974,5250,145
*,normalized-pigeon-cardinality-75-70.opb,1,0,0,0,0.0006,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
$,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.119478,0.0508898,0.308103,2280,1636
*,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,0,0,0,0.0022,2280,1636
$,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0424006,0.0301455,0.0884051,301,300
*,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0013,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0553799,0.0258551,0.0955276,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.0015,88,177
$,itox_vc909.opb,1,-,0.78128,1.70328,6.7116,112115,327768
*,itox_vc909.opb,1,0,0,0,0.1184,112115,327768
$,normalized-2_3_4.opb,0,-,0.0459321,0.0253642,0.085924,42,161
*,normalized-2_3_4.opb,1,0,0,0,0.0015,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-t3002.11tsp11.1900670167.opb,0,-,1.02133,0.0331549,1.10065,231,2707
*,normalized-t3002.11tsp11.1900670167.opb,1,0,0,0,0.0011,231,2707
&,rbsat-v945c61409g10.opb,timeout,-1,-1,-1,-1,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.339855,0.096944,0.652911,257,7375
*,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,1,0,0,0,0.0051,257,7375
$,normalized-pigeon-cardinality-81-80.opb,0,-,0.0888944,0.0325837,0.177985,6480,161
*,normalized-pigeon-cardinality-81-80.opb,1,0,0,0,0.0008,6480,161
&,normalized-sha1-size128-round21-9.opb,timeout,-1,-1,-1,-1,3968,7904
$,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.164793,0.026459,0.207908,72,192
*,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,72,192
