status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0649524,0.022754,0.127708,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0003,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0453182,0.0255957,0.0896523,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0012,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0494558,0.0270615,0.116151,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,149,128
$,normalized-4_5_0.opb,0,-,0,0.0232527,0.0387081,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0656949,0.0252723,0.116815,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0002,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6472,0.0396669,40.7486,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.711176,0.451508,2.05967,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.36146,1.2301,6.05069,75527,272784
*,clauses-2.opb,1,0,0,0,0,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0939203,0.0246413,0.133164,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0621049,0.0240555,0.106069,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0013,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0522611,0.0267806,0.0980057,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0012,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0523596,0.0270252,0.127815,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0013,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0718814,0.027449,0.115562,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,60,160
$,normalized-8_7_19.opb,0,-,193.569,0.0418162,193.665,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.418236,0.152971,0.84314,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.923153,0.0269346,0.967165,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.146893,0.0402273,0.261058,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0,6435,2146
$,normalized-8_7_20.opb,1,-,0.37454,0.0448259,0.488068,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0914124,0.0248773,0.133595,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0012,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.514889,0.0896856,0.81039,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0926491,0.0202837,0.129156,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0014,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0426589,0.0251218,0.0818751,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0016,141,70
$,normalized-107.opb,1,-,8.43299,1.18015,12.9201,10238,224043
*,normalized-107.opb,1,0,0,0,0,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0501681,0.0236527,0.100512,1800,85
