status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0692131,0.0225324,0.114477,182,798
*,normalized-6_6_7.opb,1,0,0,0,0,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0430574,0.0242781,0.0860019,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0507721,0.0264537,0.0970009,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0,149,128
$,normalized-4_5_0.opb,0,-,0,0.0192142,0.0332938,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0644139,0.0233622,0.113612,210,929
*,normalized-7_7_7.opb,1,0,0,0,0,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6812,0.0393191,40.7789,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0001,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.71119,0.455204,2.06035,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.001,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.3464,1.26201,6.08934,75527,272784
*,clauses-2.opb,1,0,0,0,0.0028,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0939228,0.0213746,0.131849,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0612121,0.0221299,0.101481,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0486858,0.0252568,0.0903896,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0513501,0.0254567,0.0960388,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0693052,0.0236756,0.10836,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,60,160
$,normalized-8_7_19.opb,0,-,193.202,0.0383533,193.297,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0001,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419128,0.148673,0.839805,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0003,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.927398,0.0229719,0.966363,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.144545,0.0434769,0.261193,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0001,6435,2146
$,normalized-8_7_20.opb,1,-,0.371783,0.0378424,0.47948,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0904469,0.0255535,0.132909,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.518082,0.0766774,0.798029,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0001,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0938969,0.0236744,0.134526,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0408144,0.0233314,0.0785001,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0,141,70
$,normalized-107.opb,1,-,20.1056,1.23797,24.6791,10238,224043
*,normalized-107.opb,2,50,176,100,0.0336,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0506366,0.0257527,0.102352,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.4509,0.102433,62.7888,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0001,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0711104,0.0307158,0.117743,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0400521,0.0233551,0.0770201,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0431471,0.0253279,0.0836608,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0557002,0.0277734,0.0996841,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0,138,277
$,normalized-7_7_12.opb,0,-,0.801517,0.0300877,0.864948,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-184.opb,timeout,-1,-1,-1,-1,1025127,24132986
$,itox_vc1033.opb,1,-,1.0474,1.65966,7.19604,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.0036,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0432761,0.0218347,0.0814482,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.150563,0.0292125,0.230728,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.5847,0.333163,82.6416,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0008,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.127979,0.0315496,0.212308,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.2856,0.0326281,1.36326,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.1028,0.0612762,81.327,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0002,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0771368,0.0184661,0.111815,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,78,208
$,normalized-ECgrid5x70split.opb,0,-,388.573,0.0268548,388.618,701,351
*,normalized-ECgrid5x70split.opb,2,50,1,100,0.0011,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0409785,0.0260547,0.0816336,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.133835,0.0196226,0.166986,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0427718,0.0201318,0.077852,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.2895,0.380891,16.2146,22022,69222
*,normalized-j1208_10-unsat.opb,1,0,0,0,0.0008,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.843,0.0297528,131.888,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.64004,0.0217066,3.67499,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,117,312
$,normalized-5_7_7.opb,0,-,0.0609673,0.0307341,0.112941,156,677
*,normalized-5_7_7.opb,1,0,0,0,0,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,68.5503,2.74402,77.6408,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,0,0,0,0.0067,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.7154,0.0822668,78.9979,7004,7212
*,normalized-TateBritain_K103.opb,1,0,0,0,0.0001,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.7851,0.751687,83.2434,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.0017,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0505518,0.0233928,0.089515,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,120.496,3.87387,135.178,184866,874988
*,uts-l06-ipc5-h34-unknown.opb,1,0,0,0,0.0092,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,287.78,0.0228804,287.82,601,301
*,normalized-ECgrid5x60split.opb,2,50,1,100,0.0011,601,301
