status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0660643,0.0291139,0.117466,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0019,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0466573,0.0251357,0.0908677,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0026,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0471762,0.0273023,0.0924313,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0027,149,128
$,normalized-4_5_0.opb,0,-,0,0.0179863,0.0313976,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0644473,0.0260182,0.11624,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0014,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7601,0.0427003,40.8637,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0017,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.709289,0.469372,2.08065,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0046,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.35856,1.31542,6.17069,75527,272784
*,clauses-2.opb,1,0,0,0,0.0118,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0939216,0.0275844,0.135984,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0608704,0.0208577,0.100282,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0027,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0539137,0.0271997,0.101307,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0026,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.049878,0.0265739,0.0965734,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0023,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0701885,0.0269163,0.113501,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,60,160
$,normalized-8_7_19.opb,0,-,193.258,0.0413049,193.355,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0015,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419624,0.150434,0.841911,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0022,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.917869,0.0261693,0.960093,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.146891,0.04179,0.263876,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0022,6435,2146
$,normalized-8_7_20.opb,1,-,0.373671,0.0414571,0.485317,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0009,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0912253,0.0214346,0.129902,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0023,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.512531,0.0801934,0.79202,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0044,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0916947,0.0226275,0.131077,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0023,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0429522,0.0280398,0.085544,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0029,141,70
$,normalized-107.opb,1,-,8.46425,1.25475,13.0419,10238,224043
*,normalized-107.opb,1,0,0,0,0.0226,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0515457,0.0296671,0.107755,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0024,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.4258,0.0934661,62.7499,1472,7737
