status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0669858,0.0254263,0.114448,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0021,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0406944,0.0294179,0.0865505,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,100,172,100,0.0029,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0480112,0.0260319,0.0901247,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0029,149,128
$,normalized-4_5_0.opb,0,-,0,0.0245738,0.0398525,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0650935,0.025696,0.117988,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0021,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6744,0.0463278,40.7807,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0036,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.731703,0.523945,2.10792,24684,81723
*,normalized-j12035_4-sat.opb,1,100,1391,100,0.0327,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.31326,1.37768,6.10519,75527,272784
*,clauses-2.opb,1,100,5413,100,0.1068,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0951171,0.0251359,0.134266,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0918043,0.0272351,0.138985,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,100,28,100,0.0029,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0516186,0.0270949,0.0980982,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0025,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.05252,0.0251964,0.0977907,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0026,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0700963,0.0253601,0.110906,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,60,160
$,normalized-8_7_19.opb,0,-,191.305,0.0448685,191.404,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0037,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.416613,0.158835,0.844225,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,100,307,100,0.0125,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.915918,0.0272997,0.959726,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.147158,0.0496128,0.272667,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0044,6435,2146
$,normalized-8_7_20.opb,1,-,0.375763,0.0414614,0.488105,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0041,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0933202,0.0257852,0.137035,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0024,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.516283,0.0937135,0.817735,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0125,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0920449,0.0298855,0.139918,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0026,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0427433,0.0259203,0.0833245,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0027,141,70
$,normalized-107.opb,1,-,8.51002,1.29746,13.1029,10238,224043
*,normalized-107.opb,1,0,0,0,0.0985,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0487657,0.0309497,0.106179,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0027,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,61.1938,0.107893,61.5218,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,100,877,100,0.0137,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0986975,0.0268329,0.143756,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,100,28,100,0.0027,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0401454,0.0276217,0.0818557,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,100,52,100,0.0029,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0449799,0.02785,0.0884892,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0028,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0561007,0.0259989,0.0993435,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0028,138,277
$,normalized-7_7_12.opb,0,-,0.802249,0.0356516,0.872758,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0028,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.22266,1.87858,7.50876,118528,348058
*,itox_vc1033.opb,1,100,24760,100,0.1809,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0416476,0.02661,0.0852977,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,100,134,100,0.0028,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.22246,0.0452442,0.320318,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,100,143,100,0.0035,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.6193,0.356779,82.6884,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0304,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.130499,0.04834,0.231297,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,100,143,100,0.0035,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.46004,0.0337065,1.537,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,100,143,100,0.0034,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.1002,0.0686248,81.3306,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0064,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0784254,0.0273373,0.121092,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,78,208
$,normalized-ECgrid5x70split.opb,0,-,154.652,0.029631,154.701,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0023,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0400118,0.0262981,0.0808295,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,100,52,100,0.0029,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.134738,0.0235146,0.174728,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0419836,0.0208078,0.0752295,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0031,44,89
$,normalized-j1208_10-unsat.opb,0,-,74.1016,0.435873,75.0464,22022,69222
*,normalized-j1208_10-unsat.opb,1,100,1419,100,0.029,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.094,0.034564,131.145,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.64192,0.0274815,3.68671,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,117,312
$,normalized-5_7_7.opb,0,-,0.060487,0.0230336,0.105978,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.002,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,69.3117,3.03388,78.7769,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,100,930,100,0.2471,113583,649270
$,normalized-TateBritain_K103.opb,1,-,270.084,0.094287,270.369,7004,7212
*,normalized-TateBritain_K103.opb,1,100,101,100,0.01,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.7076,0.813175,83.2239,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.0834,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0502023,0.0290558,0.0959416,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0027,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,121.011,4.1239,135.979,184866,874988
*,uts-l06-ipc5-h34-unknown.opb,1,100,1134,100,0.3856,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,206.733,0.029953,206.782,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.0024,601,301
$,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.494785,0.0221868,0.534045,105,280
*,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,105,280
$,normalized-j1204_7-sat.opb,1,-,0.185766,0.385851,1.16198,19844,62356
*,normalized-j1204_7-sat.opb,1,100,1367,100,0.0261,19844,62356
$,normalized-pigeon-cardinality-75-70.opb,0,-,0.071795,0.0361729,0.155129,5250,145
*,normalized-pigeon-cardinality-75-70.opb,1,0,0,0,0.0032,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
$,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.119788,0.0507662,0.307157,2280,1636
*,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,0,0,0,0.007,2280,1636
$,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0421039,0.027408,0.0866009,301,300
*,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,1,100,150,100,0.0028,301,300
