status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0682249,0.0334453,0.125787,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0037,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0443995,0.0251534,0.088327,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0036,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0507923,0.0215032,0.0925485,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0033,149,128
$,normalized-4_5_0.opb,0,-,0,0.0275491,0.0432516,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0663558,0.0325476,0.124473,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0044,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6314,0.0645603,40.7567,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0175,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.382844,321.898,322.894,24684,81723
*,normalized-j12035_4-sat.opb,1,100,16519,100,321.499,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
&,clauses-2.opb,timeout,-1,-1,-1,-1,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0,6.30561,6.56057,17290,59721
*,normalized-j9040_1-unsat.opb,1,100,0,0,6.1224,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.093912,0.0227608,0.131987,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0031,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0623528,0.0319372,0.146101,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.007,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.052572,0.025711,0.0979072,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0044,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0502881,0.0293016,0.101359,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0045,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0724611,0.0267854,0.113995,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.003,60,160
$,normalized-8_7_19.opb,0,-,192.598,0.0504306,192.718,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0126,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.326293,24.6371,25.2024,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,13,100,2882,100,24.431,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.923542,0.0275809,0.966222,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0033,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145437,0.062021,0.294271,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0197,6435,2146
$,normalized-8_7_20.opb,1,-,0.373852,0.0517482,0.523323,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0126,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0921723,0.028939,0.13857,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0043,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.508654,0.12992,0.839684,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0499,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0911087,0.0294694,0.137945,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0039,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0431468,0.0265448,0.0846127,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0032,141,70
$,normalized-107.opb,1,-,59.1315,74.0467,136.398,10238,224043
*,normalized-107.opb,3,100,8080,100,72.6372,10238,224043
$,normalized-j1205_1-unsat.opb,0,-,0,12.433,12.7199,22264,70239
*,normalized-j1205_1-unsat.opb,1,100,0,0,12.2227,22264,70239
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0502066,0.0347193,0.111231,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0097,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.2469,0.143604,62.6208,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0449,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0730923,0.0291723,0.121916,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0069,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0404426,0.0293562,0.0850831,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.003,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0416221,0.0245558,0.0800808,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0033,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.057366,0.0294231,0.103472,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.004,138,277
$,normalized-7_7_12.opb,0,-,0.803019,0.0411614,0.894712,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0065,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,0.945786,210.459,215.644,118528,348058
*,itox_vc1033.opb,1,100,27409,100,208.017,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0436072,0.0302402,0.0906643,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0035,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.153666,0.0456877,0.260708,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0134,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,89.7487,2.43189,92.8959,7000,67586
*,velev-engi-uns-1.0-4nd.opb,2,50,114,100,2.1036,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.126166,0.0475284,0.22487,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0129,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.31207,0.0485184,1.42663,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0132,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.5654,0.199917,81.9266,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.1405,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0754933,0.0255278,0.114668,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0031,78,208
$,normalized-ECgrid5x70split.opb,0,-,127.928,0.0331387,127.98,701,351
*,normalized-ECgrid5x70split.opb,2,50,1,100,0.006,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0414809,0.0303904,0.085943,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0032,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.134527,0.0271988,0.178515,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0031,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0424001,0.028431,0.0832844,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0035,44,89
$,normalized-j1208_10-unsat.opb,0,-,81.8241,158.609,240.82,22022,69222
*,normalized-j1208_10-unsat.opb,1,100,14026,100,158.23,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.603,0.0231437,131.643,114,304
