status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0654971,0.0283072,0.116427,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0009,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.044785,0.0274745,0.0904123,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0015,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0478991,0.0266004,0.0921143,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0017,149,128
$,normalized-4_5_0.opb,0,-,0,0.0245218,0.0394048,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0649008,0.0273022,0.117653,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0005,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7261,0.0437612,40.8328,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0022,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.716295,0.485332,2.10147,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0317,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.34614,1.32999,6.12389,75527,272784
*,clauses-2.opb,1,0,0,0,0.1098,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0936078,0.0236504,0.134129,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0617234,0.0208136,0.102925,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0015,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0515732,0.0275044,0.0972883,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0012,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0513909,0.0285984,0.101972,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0017,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0704686,0.0239371,0.109367,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,60,160
$,normalized-8_7_19.opb,0,-,190.67,0.0398296,190.763,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0019,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.418765,0.150055,0.841038,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0113,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.916307,0.0253426,0.956756,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.146807,0.0431161,0.264495,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.003,6435,2146
$,normalized-8_7_20.opb,1,-,0.373724,0.0406551,0.485087,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0021,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0926634,0.0213671,0.131527,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0014,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.515517,0.0928929,0.817084,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0097,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0934802,0.0240408,0.135234,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0016,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0423533,0.0265467,0.0829435,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0016,141,70
$,normalized-107.opb,1,-,8.55409,1.347,13.2112,10238,224043
*,normalized-107.opb,1,0,0,0,0.1342,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0507343,0.0270448,0.104133,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0016,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.6331,0.111022,62.9752,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0102,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0744413,0.0247292,0.11924,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0017,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0428514,0.0238194,0.082504,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0016,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0443649,0.0274873,0.0885385,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0015,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0559572,0.0256854,0.0965316,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0016,138,277
$,normalized-7_7_12.opb,0,-,0.802981,0.0293976,0.868113,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0009,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
&,normalized-184.opb,timeout,-1,-1,-1,-1,1025127,24132986
$,itox_vc1033.opb,1,-,0.999464,1.84059,7.31759,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.1528,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0429335,0.0250086,0.0874959,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0016,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.150048,0.0324736,0.231812,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0014,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.5891,0.35681,82.669,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0309,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.126215,0.0351947,0.214812,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0013,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.2943,0.0351009,1.37443,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0014,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.0868,0.0646938,81.3133,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0047,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0758297,0.0230778,0.115363,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,78,208
$,normalized-ECgrid5x70split.opb,0,-,154.658,0.0279192,154.705,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0015,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0425175,0.0243729,0.0822985,105,104
