status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0696199,0.0238315,0.118089,182,798
*,normalized-6_6_7.opb,2,50,1,100,0.0007,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0444049,0.0246375,0.0883403,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0012,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0480206,0.029364,0.0955043,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,149,128
$,normalized-4_5_0.opb,0,-,0,0.0239463,0.0376656,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0716871,0.0374094,0.135149,210,929
*,normalized-7_7_7.opb,2,50,1,100,0.0007,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.811,0.0392057,40.9099,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.375285,0.62798,1.66144,24684,81723
*,normalized-j12035_4-sat.opb,20,95,8861,100,0.0961,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.35258,1.24995,6.04796,75527,272784
*,clauses-2.opb,1,0,0,0,0.0176,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0,0.304044,0.558773,17290,59721
*,normalized-j9040_1-unsat.opb,5,100,4218,100,0.0279,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0965053,0.0237552,0.136676,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0015,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.064279,0.0249322,0.109703,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0015,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0534201,0.0274431,0.100349,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0013,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0506516,0.0253353,0.0953169,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0720521,0.026192,0.1134,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,60,160
$,normalized-8_7_19.opb,0,-,180.472,0.0453648,180.572,756,3542
*,normalized-8_7_19.opb,2,50,1,100,0.0011,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.42073,0.151055,0.842186,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0032,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.924256,0.025524,0.966247,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0014,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.146902,0.0458164,0.269252,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0017,6435,2146
$,normalized-8_7_20.opb,1,-,0.733121,0.0474702,0.850245,812,3813
*,normalized-8_7_20.opb,2,50,1,100,0.0015,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0917452,0.0255748,0.134525,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0013,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.515341,0.0825634,0.79966,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.005,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0921535,0.0220762,0.13106,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0011,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0421506,0.0230108,0.0787707,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0016,141,70
$,normalized-107.opb,1,-,8.48064,1.24268,13.0404,10238,224043
*,normalized-107.opb,1,0,0,0,0.0356,10238,224043
$,normalized-j1205_1-unsat.opb,0,-,0,0.366351,0.653667,22264,70239
*,normalized-j1205_1-unsat.opb,6,100,5032,100,0.0422,22264,70239
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0507765,0.027388,0.105055,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0015,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.3657,0.0969397,62.6958,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0008,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0739887,0.0220338,0.11507,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0015,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0408314,0.0259617,0.0818196,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0016,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0436902,0.0259475,0.0859526,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0015,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0561988,0.0253139,0.0978006,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0015,138,277
$,normalized-7_7_12.opb,0,-,0.749843,0.0285057,0.815493,380,1734
*,normalized-7_7_12.opb,2,50,1,100,0.0007,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.01175,1.73201,7.20094,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.0306,118528,348058
