status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0679426,0.0284161,0.121205,182,798
*,normalized-6_6_7.opb,1,0,0,0,0,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0436216,0.0292682,0.0925389,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0484911,0.0237153,0.0908279,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0,149,128
$,normalized-4_5_0.opb,0,-,0,0.0250956,0.0390702,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.067108,0.0280482,0.118001,210,929
*,normalized-7_7_7.opb,1,0,0,0,0,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.699,0.0413102,40.8007,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0002,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.713328,0.456356,2.07162,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0009,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.37321,1.22685,6.06555,75527,272784
*,clauses-2.opb,1,0,0,0,0.0027,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.095187,0.0226947,0.133695,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0615435,0.0205994,0.101445,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0531189,0.0218025,0.0929577,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0495603,0.0194525,0.0900583,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.071699,0.0212045,0.109536,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0,60,160
$,normalized-8_7_19.opb,0,-,190.697,0.0413599,190.795,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.416975,0.142746,0.828764,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0002,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.910695,0.0200242,0.946359,93,248
