status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0665471,0.0314634,0.122102,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0032,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0435336,0.0225067,0.0839165,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0027,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0482491,0.0301665,0.0973018,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0039,149,128
$,normalized-4_5_0.opb,0,-,0,0.0269662,0.0420931,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0675055,0.0295392,0.123136,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0031,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7158,0.0491236,40.8242,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0061,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.709072,0.519112,2.12721,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0651,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.36365,1.48867,6.33497,75527,272784
*,clauses-2.opb,1,0,0,0,0.2209,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0933364,0.0277111,0.136572,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0033,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0621322,0.0251734,0.106881,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0032,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0527187,0.0295548,0.10251,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0029,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0509191,0.0291726,0.101509,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0033,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0717466,0.0274019,0.113982,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,60,160
$,normalized-8_7_19.opb,0,-,191.893,0.0441829,191.993,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0049,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419202,0.170595,0.860864,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0273,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.913093,0.0298633,0.958972,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.003,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.148024,0.0686775,0.29086,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,2,50,66,100,0.0186,6435,2146
$,normalized-8_7_20.opb,1,-,0.372789,0.0471566,0.486975,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0053,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0935462,0.0273199,0.13949,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0036,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.518024,0.156507,0.877756,20795,4160
*,normalized-sumineqArity5houseP064.opb,2,50,65,100,0.0525,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0916298,0.0269848,0.133835,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0031,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0406314,0.0255187,0.0808725,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0,141,70
$,normalized-107.opb,1,-,8.45387,1.4202,13.1885,10238,224043
*,normalized-107.opb,1,0,0,0,0.1894,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0495934,0.0270005,0.103492,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0024,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.1399,0.106838,62.4801,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0089,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0720086,0.0258044,0.119302,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0029,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.040147,0.0282854,0.0825226,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0034,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0450661,0.0238958,0.0844647,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0563945,0.0279919,0.0997992,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0034,138,277
$,normalized-7_7_12.opb,0,-,0.806033,0.0326619,0.873692,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0033,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.01975,1.96279,7.47824,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.2777,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0430356,0.021261,0.0814617,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0024,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.15276,0.0333356,0.238845,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0044,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.4866,0.38609,82.5899,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0578,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.126826,0.0326137,0.214949,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0043,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.30635,0.039571,1.39061,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0046,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.4867,0.0759494,81.723,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0147,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.076501,0.0335213,0.126549,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0027,78,208
$,normalized-ECgrid5x70split.opb,0,-,154.786,0.0200782,154.826,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0421869,0.0226766,0.0783568,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0031,105,104
