status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0689204,0.0248405,0.116212,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0019,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0443556,0.0306042,0.115765,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0024,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0457657,0.0216351,0.084397,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0024,149,128
$,normalized-4_5_0.opb,0,-,0,0.0216305,0.0352039,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0668403,0.0293752,0.16881,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0019,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6707,0.038211,40.772,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0019,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.715457,0.474058,2.09193,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0024,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.36085,1.22273,6.08548,75527,272784
*,clauses-2.opb,1,0,0,0,0.0021,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0955071,0.0268743,0.156818,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.061713,0.0268049,0.110236,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0025,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0546591,0.027744,0.101814,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0024,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0525858,0.0262801,0.0996579,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0025,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0703915,0.0265316,0.120765,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0026,60,160
$,normalized-8_7_19.opb,0,-,192.826,0.0426115,192.923,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0021,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.423809,0.154888,0.852629,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0022,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.902625,0.0241428,0.993079,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0025,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.144993,0.0432149,0.264582,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0019,6435,2146
$,normalized-8_7_20.opb,1,-,0.372605,0.0425585,0.486825,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0019,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0929727,0.0264347,0.135987,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0023,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.513485,0.0792224,0.795566,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0021,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0935074,0.023844,0.133408,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0025,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0440881,0.0208388,0.0805911,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0027,141,70
$,normalized-107.opb,1,-,8.50982,1.22312,13.1225,10238,224043
*,normalized-107.opb,1,0,0,0,0.0229,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0478098,0.0266457,0.101045,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.002,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.6389,0.0980013,62.9937,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0021,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0726522,0.0237043,0.116371,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.0026,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0429063,0.0217964,0.0820592,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0028,105,104
