status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.07124,0.00051,0.08350,182,798
*,normalized-6_6_7.opb,1,0,0,0.00000,0.00050,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.04427,0.00002,0.05459,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.04903,0.00001,0.06228,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,149,128
$,normalized-4_5_0.opb,0,-,0.02755,0.00006,0.04051,20,69
*,normalized-4_5_0.opb,1,0,0,0.00000,0.00010,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.07303,0.00058,0.08661,210,929
*,normalized-7_7_7.opb,1,0,0,0.00000,0.00060,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.74464,0.00576,40.76763,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0.00000,0.00580,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.95684,0.31584,1.45270,24684,81723
*,normalized-j12035_4-sat.opb,1,1,14518,1.00000,0.31580,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.57311,9.68349,11.94164,75527,272784
*,clauses-2.opb,1,1,113385,1.00000,9.68350,75527,272784
$,normalized-j9040_1-unsat.opb,0,-,0.13386,0.22010,0.48114,17290,59721
*,normalized-j9040_1-unsat.opb,1,1,9492,1.00000,0.22010,17290,59721
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.09410,0.00001,0.10590,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.06326,0.00030,0.07658,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0.00000,0.00030,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.05380,0.00072,0.06758,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0.00000,0.00070,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.05205,0.00002,0.06648,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.07144,0.00000,0.08163,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,60,160
$,normalized-8_7_19.opb,0,-,200.85715,0.00254,200.87703,756,3542
*,normalized-8_7_19.opb,1,0,0,0.00000,0.00250,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.41547,0.07957,0.55688,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,1,8125,1.00000,0.07960,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.92558,0.00001,0.93593,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0.00000,0.00000,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.14648,0.00042,0.16338,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0.00000,0.00040,6435,2146
$,normalized-8_7_20.opb,1,-,0.08766,0.00271,0.10671,812,3813
*,normalized-8_7_20.opb,1,0,0,0.00000,0.00270,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.09207,0.00053,0.10357,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0.00000,0.00050,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.51634,0.00109,0.54314,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0.00000,0.00110,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.09182,0.00039,0.10308,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0.00000,0.00040,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.04203,0.00001,0.05262,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0.00000,0.00000,141,70
$,normalized-107.opb,1,-,18.71021,0.24130,19.59258,10238,224043
*,normalized-107.opb,1,1,796,1.00000,0.24130,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.04958,0.00008,0.06116,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0.00000,0.00010,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,56.50869,0.01125,56.56620,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,1,432,0.62731,0.01120,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.07462,0.00025,0.08741,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0.00000,0.00020,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.04201,0.00001,0.05399,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.04595,0.00002,0.05798,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0.00000,0.00000,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.05525,0.00031,0.06598,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0.00000,0.00030,138,277
$,normalized-7_7_12.opb,0,-,0.81157,0.00113,0.82542,380,1734
*,normalized-7_7_12.opb,1,0,0,0.00000,0.00110,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.36076,0.79734,2.99062,118528,348058
*,itox_vc1033.opb,1,1,51297,1.00000,0.79730,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.04328,0.00003,0.05418,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.15013,0.00091,0.16597,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0.00000,0.00090,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,85.60805,0.59237,86.37164,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,1,19945,0.99970,0.59240,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.12683,0.00092,0.14250,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0.00000,0.00090,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.31589,0.00088,1.33311,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0.00000,0.00090,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,13.43072,0.03413,13.50760,360,15466
