status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
@,normalized-6_6_7.opb,0,-,0.0829595,0,0.0829595,182,798
@,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0699291,0,0.0699291,345,344
@,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.080404,0,0.080404,149,128
@,normalized-4_5_0.opb,0,-,0.0369522,0,0.0369522,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
@,normalized-7_7_7.opb,0,-,0.110564,0,0.110564,210,929
@,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.6561,0,40.6561,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
@,normalized-j12035_4-sat.opb,1,-,0.84039,0,0.84039,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
@,clauses-2.opb,1,-,1.36155,0,1.36155,75527,272784
@,normalized-j9040_1-unsat.opb,0,-,0.080033,0,0.080033,17290,59721
@,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.121396,0,0.121396,75,200
@,normalized-t2001.13queen13.1110970277.opb,1,-,0.0899558,0,0.0899558,169,101
@,normalized-vertexcover-grid10x25.opb,0,-,0.061132,0,0.061132,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
@,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0837641,0,0.0837641,234,193
@,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0798196,0,0.0798196,60,160
@,normalized-8_7_19.opb,0,-,200.703,0,200.703,756,3542
@,normalized-dlx1c.rwmem.ucl.opb,0,-,0.44802,0,0.44802,9051,25833
@,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.927449,0,0.927449,93,248
@,normalized-sumineqArity3pyramidP0064.opb,0,-,0.152765,0,0.152765,6435,2146
@,normalized-8_7_20.opb,1,-,0.105506,0,0.105506,812,3813
@,normalized-vertexcover-grid8x25-hard.opb,0,-,0.099192,0,0.099192,200,401
@,normalized-sumineqArity5houseP064.opb,0,-,0.526532,0,0.526532,20795,4160
@,normalized-vertexcover-grid8x19-hard.opb,0,-,0.100988,0,0.100988,152,305
@,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0494497,0,0.0494497,141,70
@,normalized-107.opb,1,-,10.0667,0,10.0667,10238,224043
@,normalized-j1205_1-unsat.opb,0,-,0.0900029,0,0.0900029,22264,70239
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
@,normalized-pigeon-cardinality-45-40.opb,0,-,0.0559112,0,0.0559112,1800,85
@,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,58.2607,0,58.2607,1472,7737
@,normalized-t2001.13queen13.1110968431.opb,1,-,0.082118,0,0.082118,169,101
@,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0493792,0,0.0493792,105,104
@,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0509547,0,0.0509547,261,130
@,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0624348,0,0.0624348,138,277
@,normalized-7_7_12.opb,0,-,0.86007,0,0.86007,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
@,normalized-184.opb,1,-,62.5001,0,62.5001,1025127,24132986
@,itox_vc1033.opb,1,-,0.981209,0,0.981209,118528,348058
@,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0516042,0,0.0516042,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
@,normalized-t3002.11tsp11.1900669309.opb,1,-,0.192787,0,0.192787,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
@,velev-engi-uns-1.0-4nd.opb,0,-,84.2418,0,84.2418,7000,67586
@,normalized-t3002.11tsp11.1900564822.opb,1,-,0.170745,0,0.170745,231,2707
@,normalized-t3002.11tsp11.1900551864.opb,0,-,1.33422,0,1.33422,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
@,new-difficult-20-152-18-95.opb,1,-,81.2366,0,81.2366,360,15466
@,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0837433,0,0.0837433,78,208
@,normalized-ECgrid5x70split.opb,0,-,154.584,0,154.584,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
@,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0491005,0,0.0491005,105,104
@,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.16823,0,0.16823,81,216
@,normalized-vertexcover-grid4x11.opb,0,-,0.0484518,0,0.0484518,44,89
@,normalized-j1208_10-unsat.opb,0,-,19.8484,0,19.8484,22022,69222
@,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.529,0,131.529,114,304
@,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.63494,0,3.63494,117,312
@,normalized-5_7_7.opb,0,-,0.107393,0,0.107393,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
@,uts-l06-ipc5-h28-unknown.opb,0,-,48.8054,0,48.8054,113583,649270
&,normalized-TateBritain_K103.opb,timeout,-1,-1,-1,-1,7004,7212
@,velev-live-uns-2.0-ebuf.opb,0,-,84.0863,0,84.0863,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
@,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0929854,0,0.0929854,78,157
@,uts-l06-ipc5-h34-unknown.opb,1,-,94.8309,0,94.8309,184866,874988
@,normalized-ECgrid5x60split.opb,0,-,206.705,0,206.705,601,301
@,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.523726,0,0.523726,105,280
@,normalized-j1204_7-sat.opb,1,-,0.358487,0,0.358487,19844,62356
@,normalized-pigeon-cardinality-75-70.opb,0,-,0.0807396,0,0.0807396,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
@,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.131536,0,0.131536,2280,1636
@,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.051479,0,0.051479,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
@,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0653418,0,0.0653418,88,177
@,itox_vc909.opb,1,-,0.812289,0,0.812289,112115,327768
@,normalized-2_3_4.opb,0,-,0.0602851,0,0.0602851,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
@,normalized-t3002.11tsp11.1900670167.opb,0,-,1.01259,0,1.01259,231,2707
&,rbsat-v945c61409g10.opb,timeout,-1,-1,-1,-1,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
@,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.344525,0,0.344525,257,7375
@,normalized-pigeon-cardinality-81-80.opb,0,-,0.0971456,0,0.0971456,6480,161
@,normalized-sha1-size128-round21-9.opb,1,-,281.111,0,281.111,3968,7904
@,normalized-j9048_1-unsat.opb,0,-,0.073345,0,0.073345,15106,51743
@,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.175083,0,0.175083,72,192
@,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,-,0.0739678,0,0.0739678,293,236
@,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.21638,0,0.21638,105,280
@,normalized-8_6_25.opb,0,-,353.921,0,353.921,1122,5318
@,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.383867,0,0.383867,78,208
@,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,0,-,0.0518705,0,0.0518705,281,280
@,normalized-chnl50_60_pb.cnf.cr.opb,0,-,0.0810907,0,0.0810907,6000,220
@,normalized-t2001.13queen13.1110967729.opb,0,-,0.103779,0,0.103779,169,101
@,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,-,109.246,0,109.246,210,840
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
@,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0724578,0,0.0724578,75,200
@,normalized-6_6_14.opb,0,-,1.10036,0,1.10036,420,1925
@,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,0,-,13.6752,0,13.6752,61,132
@,"normalized-ppp_1,3-13,19.opb",1,-,31.3165,0,31.3165,4608,30348
&,normalized-vdw_k5_l4_n750.opb,timeout,-1,-1,-1,-1,3750,467625
@,normalized-j6028_7-sat.opb,1,-,0.121945,0,0.121945,9272,30380
@,UR-10-5p0.opb,0,-,114.641,0,114.641,104479,500869
@,normalized-fixed-bandwidth-22.cnf.gz-extracted.pb.metafix.opb,0,-,0.0485488,0,0.0485488,89,88
@,normalized-pigeon-cardinality-71-70.opb,0,-,0.0793233,0,0.0793233,4970,141
&,normalized-41.opb,timeout,-1,-1,-1,-1,5690,119124
&,AProVE07-20.opb,timeout,-1,-1,-1,-1,7847,73394
@,normalized-t2001.13queen13.1111223596.opb,1,-,0.116857,0,0.116857,169,101
@,normalized-j3025_1-sat.opb,1,-,0.51867,0,0.51867,5828,19158
@,normalized-vertexcover-grid10x27-hard.opb,0,-,0.349295,0,0.349295,270,541
@,normalized-vertexcover-completegraph-41.opb,0,-,0.0512758,0,0.0512758,41,821
@,mod2-rand3bip-sat-240-3.sat05-2205.reshuffled-07.opb,1,-,63.3937,0,63.3937,240,960
@,normalized-tseitin-regular-n72-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.528858,0,0.528858,108,288
@,normalized-t2001.13queen13.1110969860.opb,0,-,0.14342,0,0.14342,169,101
&,normalized-ECgrid5x110split.opb,timeout,-1,-1,-1,-1,1101,551
@,em_8_4_5_all.opb,1,-,9.51519,0,9.51519,2420,62900
&,eq.atree.braun.10.unsat.opb,timeout,-1,-1,-1,-1,1111,3756
@,normalized-3_5_3.opb,0,-,0.0343983,0,0.0343983,42,161
&,normalized-3col-almost3reg-l060-r059-n1.opb,timeout,-1,-1,-1,-1,3282,6986
&,normalized-ECgrid5x150split.opb,timeout,-1,-1,-1,-1,1501,751
@,xinetd_vc56687.opb,0,-,0.538291,0,0.538291,110822,286158
@,normalized-ECrand4regsplit-v080-n1.opb,0,-,0.0770722,0,0.0770722,159,80
@,normalized-rand6reg-v041-n2.opb,0,-,0.302296,0,0.302296,123,41
@,normalized-fpga12_11_sat_pb.cnf.cr.opb,1,-,0.0939184,0,0.0939184,198,166
&,normalized-167.opb,timeout,-1,-1,-1,-1,106196,2493137
@,normalized-reduced-prob4.opb,1,-,0.0544455,0,0.0544455,82,2
@,normalized-pigeon-cardinality-51-50.opb,0,-,0.0650643,0,0.0650643,2550,101
@,normalized-t3002.11tsp11.1900552423.opb,0,-,0.179078,0,0.179078,231,2707
@,normalized-3_4_7.opb,0,-,0.0771146,0,0.0771146,110,465
@,normalized-ECrand4regsplit-v070-n1.opb,0,-,0.125472,0,0.125472,139,70
@,normalized-t3002.11tsp11.1900581321.opb,1,-,0.185799,0,0.185799,231,2707
&,normalized-5_6_33.opb,timeout,-1,-1,-1,-1,1482,7073
@,normalized-7_7_11.opb,0,-,0.202211,0,0.202211,342,1553
@,rbsat-v760c43649gyes6.opb,1,-,8.32345,0,8.32345,760,43649
@,normalized-pigeon-cardinality-91-90.opb,0,-,0.147222,0,0.147222,8190,181
&,normalized-j1208_6-sat.opb,timeout,-1,-1,-1,-1,20812,65671
@,normalized-3_6_2.opb,0,-,0.0368777,0,0.0368777,30,110
@,normalized-t3002.11tsp11.1900670675.opb,0,-,0.558652,0,0.558652,231,2707
@,vmpc_25.opb,1,-,4.80164,0,4.80164,625,76775
@,normalized-t2001.13queen13.1110970170.opb,1,-,0.172837,0,0.172837,169,101
&,normalized-NG_K180.opb,timeout,-1,-1,-1,-1,21420,21782
@,normalized-t3002.11tsp11.1900667195.opb,0,-,8.65429,0,8.65429,231,2707
@,normalized-vertexcover-grid6x13.opb,0,-,0.0547092,0,0.0547092,78,157
@,normalized-subsetcard-geq-random4regular-60.opb,0,-,0.0474797,0,0.0474797,241,120
