,solvedIns,solveTime,preTime,decfasterNum,up mean(%),up median(%),decslowerNum,down mean(%),down median(%),nCall,nApplied(%),red%
SimpleProbing,600,158.70,0.046,27,57.32,62.64,25,11090.73,543.87,1.12,7.89,2.90
CoeffStrengthen,598,158.30,0.048,17,26.31,29.26,6,NA,NA,1.02,1.58,48.25
DualFix,598,158.32,0.048,8,NA,NA,6,NA,NA,1.00,0.00,NA
PureLit,598,147.61,0.051,187,18.23,16.22,66,106.84,16.65,1.46,41.90,2.65
SimplifyIneq,598,159.99,0.052,52,14.16,15.66,11,0.81,0.52,1.09,8.63,3.11
Sparsify,598,158.33,0.049,8,NA,NA,6,NA,NA,1.00,0.00,NA
defaultPaPILO,598,158.42,0.049,8,NA,NA,6,NA,NA,NA,NA,NA
ParallelRow,597,161.04,0.051,33,46.19,37.79,25,4739.47,350.26,1.00,8.82,7.32
roundingSat,596,145.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Propagation,596,157.13,0.051,60,70.03,97.97,23,4761.75,283.64,1.55,13.25,15.57
hbr,596,145.88,0.005,39,40.59,47.14,0,NA,NA,1.00,6.54,23.69
Probing,595,160.09,0.128,97,77.79,100.00,46,1092.35,97.52,1.39,23.36,23.68
Doubletoneq,594,171.70,0.047,42,45.64,38.99,44,889.74,117.53,1.26,13.12,0.39
ColSingleton,593,151.09,0.048,23,72.43,73.25,23,4968.81,296.85,1.07,6.75,2.13
Stuffing,593,150.70,0.048,23,72.39,72.98,23,4972.08,293.76,1.07,6.75,2.13
