status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0398167,0.0242231,0.0918089,26,27
*,normalized-hmittelman.lin.opb,2,50,3,100,0.0015,26,27
$,normalized-OGR_6.opb,1,17,0.0742129,0.0197865,0.125038,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.001,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.065815,0.0240366,0.108459,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0016,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-fir03_area_delay.opb,1,10,0.225774,0.0756159,0.438913,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0032,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.144084,0.028933,0.194598,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0011,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,529.739,0.224883,530.792,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0238,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.386623,0.161048,0.891901,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0092,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.2718,0.48382,34.9555,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0335,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0598926,0.0244414,0.102858,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0016,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0760002,0.0265375,0.13453,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0015,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0593813,0.0276917,0.104279,100,350
*,normalized-aim-50-6_0-yes1-1.opb,2,50,1,100,0.0012,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0287942,0.0519292,245,1233
$,normalized-j3028_7.std.opb,1,48,0.33566,0.336391,1.43288,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0219,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.358,0.550697,255.229,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0465,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0863491,0.0259043,0.129972,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0014,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0444082,0.0216602,0.0813395,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0017,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0422544,0.0237636,0.0868235,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,2,50,2,100,0.0019,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0700684,0.0254735,0.128239,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-bogr_6.opb,1,17,0.0603105,0.0250434,0.115216,139,216
*,normalized-bogr_6.opb,2,50,24,100,0.0012,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0741689,0.0256438,0.117068,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0016,99,244
$,normalized-fx84.opb,1,8,0.842537,0.0841562,1.18854,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0044,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0989,0.303738,19.0093,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0769533,0.0339228,0.14502,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0014,99,185
$,normalized-e64.b.opb,1,47,749.448,0.0263241,749.523,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0007,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.055068,0.0235134,0.0944833,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0015,144,70
$,normalized-fir06_area_opers.opb,1,23,0.938603,0.139888,1.40683,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0083,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0607712,0.0270345,0.107779,100,220
