status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0431212,0.0219751,0.081196,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0017,26,27
$,normalized-OGR_6.opb,1,17,0.0709132,0.0238184,0.124976,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0007,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0647358,0.0234801,0.105001,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0015,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,104.279,0.206541,104.984,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50,415,7.46988,0.0623,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.221401,0.0704338,0.430991,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.147234,0.0242072,0.190179,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0011,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,534.562,0.206127,535.599,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.381089,0.143671,0.864659,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,21.952,0.656241,24.8127,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,2,50,130,7.69231,0.0068,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0622487,0.0222358,0.102448,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0015,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0745044,0.0235578,0.139661,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0015,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0621661,0.0222806,0.106523,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0013,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.023663,0.0433386,245,1233
$,normalized-j3028_7.std.opb,1,48,0.346821,0.318827,1.44028,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0,18662,62670
$,normalized-neos-859770.opb,0,0,251.36,0.503158,254.155,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0866526,0.0234765,0.127865,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0015,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0441451,0.0208293,0.0812041,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0016,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0399455,0.0223202,0.0807009,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0015,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0717488,0.0259276,0.134992,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-bogr_6.opb,1,17,0.0591829,0.0287767,0.155874,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0006,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.077437,0.0221508,0.13162,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0014,99,244
$,normalized-fx84.opb,1,8,0.841675,0.0760486,1.18351,6088,6677
*,normalized-fx84.opb,1,0,0,0,0,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1226,0.291235,19.0261,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0768064,0.0240956,0.120632,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0015,99,185
$,normalized-e64.b.opb,1,47,756.222,0.0303897,756.3,607,1022
*,normalized-e64.b.opb,1,0,0,0,0,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0555704,0.0256188,0.0965109,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0018,144,70
$,normalized-fir06_area_opers.opb,1,23,0.933326,0.139749,1.40072,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0602217,0.0239703,0.100222,100,220
