status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,0,0.00000,0.00001,0.00000,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0.00000,0.00000,26,27
$,normalized-hmittelman.lin.opb,1,13,0.04134,0.03007,0.07987,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,7,28.57143,10,100.00000,0.00190,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00190,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00190,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,1,100.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00170,26,27
*,normalized-hmittelman.lin.opb,4,50.00000,2,100.00000,0.00290,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,5,100.00000,0.00200,26,27
*,normalized-hmittelman.lin.opb,1,0.00000,0,0.00000,0.00000,26,27
$,normalized-OGR_6.opb,1,0,0.00000,0.00001,0.00000,141,215
*,normalized-OGR_6.opb,1,0,0,0.00000,0.00000,141,215
$,normalized-OGR_6.opb,1,17,0.07334,0.05271,0.14935,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00080,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00160,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00170,141,215
*,normalized-OGR_6.opb,3,0.00000,0,0.00000,0.00080,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00000,141,215
*,normalized-OGR_6.opb,2,50.00000,105,100.00000,0.00460,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00110,141,215
*,normalized-OGR_6.opb,2,50.00000,15,0.00000,0.00700,141,215
*,normalized-OGR_6.opb,2,0.00000,0,0.00000,0.00000,141,215
*,normalized-OGR_6.opb,1,0.00000,0,0.00000,0.01990,141,215
*,normalized-OGR_6.opb,1,0.00000,0,0.00000,0.00000,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,0,0.00000,0.00220,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,1,81,1.00000,0.00220,99,244
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06213,0.02768,0.09829,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00170,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00200,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00190,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00190,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,50.00000,1,100.00000,0.00270,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00220,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,50.00000,1,0.00000,0.00310,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00110,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00000,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,0,0.00000,0.02622,0.00000,3540,9890
*,normalized-fir03_area_delay.opb,1,1,1890,0.99788,0.02620,3540,9890
$,normalized-fir03_area_delay.opb,1,10,0.19391,0.16206,0.48827,3540,9890
*,normalized-fir03_area_delay.opb,7,14.28571,75,100.00000,0.00040,3540,9890
*,normalized-fir03_area_delay.opb,7,28.57143,40,100.00000,0.00930,3540,9890
*,normalized-fir03_area_delay.opb,7,0.00000,0,0.00000,0.00900,3540,9890
*,normalized-fir03_area_delay.opb,7,0.00000,0,0.00000,0.00610,3540,9890
*,normalized-fir03_area_delay.opb,2,0.00000,0,0.00000,0.00030,3540,9890
*,normalized-fir03_area_delay.opb,2,50.00000,91,100.00000,0.01190,3540,9890
*,normalized-fir03_area_delay.opb,2,0.00000,0,0.00000,0.00160,3540,9890
*,normalized-fir03_area_delay.opb,2,0.00000,0,0.00000,0.02040,3540,9890
*,normalized-fir03_area_delay.opb,3,33.33333,14,100.00000,0.00120,3540,9890
*,normalized-fir03_area_delay.opb,2,0.00000,0,0.00000,0.05540,3540,9890
*,normalized-fir03_area_delay.opb,1,0.00000,0,0.00000,0.00000,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0.00000,0.00002,0.00000,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0.00000,0.00000,324,468
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.14538,0.03391,0.19369,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,2,0.00000,0,0.00000,0.00120,324,468
