status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
$,normalized-hmittelman.lin.opb,1,0,0.00000,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,1,0,-nan,0,0.00000,26,27
$,normalized-hmittelman.lin.opb,1,13,0.04158,0.03272,0.08278,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00170,26,27
*,normalized-hmittelman.lin.opb,7,28.57143,10,100.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,7,0.00000,0,0.00000,0.00180,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,1,100.00000,0.00210,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00200,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00150,26,27
*,normalized-hmittelman.lin.opb,4,50.00000,2,100.00000,0.00170,26,27
*,normalized-hmittelman.lin.opb,2,0.00000,0,0.00000,0.00000,26,27
*,normalized-hmittelman.lin.opb,2,50.00000,5,100.00000,0.00210,26,27
*,normalized-hmittelman.lin.opb,1,0.00000,0,0.00000,0.00000,26,27
$,normalized-factor-size=9-P=239-Q=487.opb,1,0,0.00000,0.00221,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,1,1.00000,81,0.00220,99,244
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06213,0.02993,0.10059,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00170,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00190,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00200,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,3,0.00000,0,0.00000,0.00180,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,50.00000,1,100.00000,0.00210,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00190,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00160,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,50.00000,1,0.00000,0.00230,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,2,0.00000,0,0.00000,0.00000,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00110,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0.00000,0,0.00000,0.00000,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0.00000,0.00072,0.00000,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,-nan,0,0.00070,17153,320
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1088.87618,7.75812,1097.02672,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,5.55556,424,7.54717,0.09330,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,16.66667,82,100.00000,0.11860,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,33.33333,23168,100.00000,0.66610,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,36,5.55556,38,0.00000,0.08080,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00180,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,5,0.00000,0,0.00000,0.04550,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00050,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00450,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.01500,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0.00000,0,0.00000,0.00010,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,27,96.29630,358,100.00000,6.69810,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50.00000,5,100.00000,0.48880,17153,320
$,normalized-fir03_area_delay.opb,1,0,0.00000,0.02555,0.00000,3540,9890
*,normalized-fir03_area_delay.opb,1,1,0.99788,1886,0.02560,3540,9890
$,normalized-fir03_area_delay.opb,1,10,0.19422,0.16765,0.49715,3540,9890
*,normalized-fir03_area_delay.opb,7,14.28571,75,100.00000,0.00040,3540,9890
*,normalized-fir03_area_delay.opb,7,28.57143,40,100.00000,0.00830,3540,9890
