status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0428222,0.0186447,0.076123,26,27
$,normalized-OGR_6.opb,1,17,0.0728226,0.0252779,0.129256,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.063919,0.0252449,0.106096,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.217702,0.0703569,0.427813,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.148038,0.0205036,0.189634,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.388287,0.1495,0.881859,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.0758,0.465626,34.7426,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0620348,0.0203791,0.0998997,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0748045,0.022954,0.113904,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0630082,0.0244391,0.108502,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0232735,0.0458623,245,1233
$,normalized-j3028_7.std.opb,1,48,0.343126,0.316519,1.4197,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,251.297,0.498486,254.099,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0870293,0.0194818,0.125957,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0428382,0.023764,0.0806107,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.038122,0.023115,0.0790931,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0714043,0.0196283,0.106662,99,244
$,normalized-bogr_6.opb,1,17,0.0583926,0.0264839,0.113077,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.075446,0.0243513,0.117152,99,244
$,normalized-fx84.opb,1,8,0.848446,0.0739719,1.18548,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0635,0.2844,18.9405,83000,1820
$,normalized-cm42a.opb,1,694,0.0777603,0.0249403,0.120765,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0560711,0.0228722,0.0935623,144,70
$,normalized-fir06_area_opers.opb,1,23,0.930765,0.141624,1.39898,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0615669,0.024922,0.105917,100,220
$,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.48764,0.2502,3.77972,23534,46798
$,normalized-mps-v2-20-10-net12.opb,1,214,2.72353,0.462816,5.52975,147395,26533
$,normalized-factor-size=9-P=157-Q=163.opb,1,157,0.0689315,0.0227744,0.109345,99,244
$,normalized-lo_10x10_006.opb.metafix.opb,1,40,0.0515927,0.0232578,0.0888243,100,58
&,normalized-mul_8_13_shg.opb,timeout,-1,-1,-1,-1,15312,65280
&,normalized-matrix_5x3_2.opb,timeout,-1,-1,-1,-1,8901,32298
$,normalized-reduced-mps-v2-20-10-enigma.opb,1,0,0.102071,0.0234341,0.144182,100,21
&,normalized-market-split_8_70_2.opb,timeout,-1,-1,-1,-1,71,17
$,normalized-factor-size=9-P=251-Q=307.opb,1,251,0.0751939,0.0222512,0.115347,99,244
&,normalized-j1206_4.std.opb,timeout,-1,-1,-1,-1,72842,234497
$,normalized-f20c10b_025_area_delay.opb,1,25,15.345,0.555587,17.416,16199,117024
&,normalized-m100_300_10_20.r.opb,timeout,-1,-1,-1,-1,299,100
&,normalized-aug4.5.opb,timeout,-1,-1,-1,-1,9632,29620
&,normalized-aug6.5.opb,timeout,-1,-1,-1,-1,9632,29620
&,normalized-bench1.r.opb,timeout,-1,-1,-1,-1,4688,403
&,normalized-reduced-mps-v2-20-10-gesa2.opb,timeout,-1,-1,-1,-1,19344,1824
&,normalized-30_30_4.5_0.95_100.opb,timeout,-1,-1,-1,-1,4617,5280
$,normalized-lo_10x10_001.opb.metafix.opb,1,52,0.0496556,0.0262001,0.0883158,100,58
$,normalized-j9027_5.std.opb,1,99,0.894054,0.891528,4.01009,54782,184432
$,normalized-rand271a0d.cudf.paranoid.opb,0,0,0,0.0859775,0.218992,5453,24268
$,normalized-factor-size=9-P=449-Q=479.opb,1,449,0.0507569,0.0200439,0.0893389,99,244
