status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0421044,0.0227877,0.0799996,26,27
*,normalized-hmittelman.lin.opb,2,50,3,100,0.0018,26,27
$,normalized-OGR_6.opb,1,17,0.0730075,0.0308823,0.134851,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0011,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0634624,0.0248861,0.106956,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0016,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.218357,0.0742489,0.431816,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0032,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.149464,0.0219613,0.194398,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0014,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.383891,0.148492,0.87464,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0092,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.4961,0.486305,35.1868,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0337,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0603903,0.0264329,0.103722,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0013,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0733017,0.0266587,0.118416,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0016,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0623655,0.0254018,0.141043,100,350
*,normalized-aim-50-6_0-yes1-1.opb,2,50,1,100,0.0014,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0250181,0.0447583,245,1233
$,normalized-j3028_7.std.opb,1,48,0.341715,0.337553,1.44322,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0218,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,251.87,0.530792,254.677,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0465,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.085407,0.025859,0.128192,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0016,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0433317,0.0247045,0.0811537,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0017,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0408535,0.0268611,0.118626,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,2,50,2,100,0.0018,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0701964,0.0243756,0.112765,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0016,99,244
$,normalized-bogr_6.opb,1,17,0.0596114,0.0306985,0.149305,139,216
*,normalized-bogr_6.opb,2,50,24,100,0.0011,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0769312,0.0268362,0.123689,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0016,99,244
$,normalized-fx84.opb,1,8,0.840016,0.0796168,1.17993,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0045,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0054,0.282221,18.8915,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0781282,0.0267772,0.146809,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0016,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0567008,0.0252957,0.0974348,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0015,144,70
$,normalized-fir06_area_opers.opb,1,23,0.936131,0.146599,1.40899,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0085,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0586494,0.0373312,0.112029,100,220
*,normalized-aim-50-3_4-yes1-4.opb,2,50,2,100,0.0015,100,220
$,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.36382,0.402669,3.81144,23534,46798
