status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0411343,0.0241886,0.078552,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0016,26,27
$,normalized-OGR_6.opb,1,17,0.0735388,0.0288965,0.134235,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0008,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0648494,0.0215697,0.103902,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0013,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,103.429,0.199128,104.125,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50,415,7.46988,0.0619,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.216424,0.0666136,0.421341,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.147314,0.0241762,0.193726,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0011,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.379313,0.151424,0.875555,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,21.8302,0.647213,24.6898,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,2,50,130,7.69231,0.0067,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0611639,0.0214154,0.101143,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0014,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0730683,0.0216296,0.112866,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0013,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0604284,0.0269511,0.106195,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.001,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0228672,0.0439956,245,1233
$,normalized-j3028_7.std.opb,1,48,0.343686,0.313791,1.429,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.226,0.519436,255.05,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0855928,0.0233602,0.127713,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0013,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0446892,0.0235397,0.0823009,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0017,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0429055,0.0257597,0.0884375,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0018,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0716592,0.0271157,0.1164,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0014,99,244
$,normalized-bogr_6.opb,1,17,0.0622822,0.0282604,0.12294,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0008,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0748657,0.0264505,0.118754,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-fx84.opb,1,8,0.841275,0.0726861,1.1737,6088,6677
*,normalized-fx84.opb,1,0,0,0,0,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.2152,0.297031,19.1201,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0779288,0.0234059,0.118826,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0014,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0561816,0.0254756,0.0969007,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0014,144,70
$,normalized-fir06_area_opers.opb,1,23,0.93661,0.139976,1.4022,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0586816,0.0237005,0.0994549,100,220
