status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.041341,0.0213564,0.0766494,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0,26,27
$,normalized-OGR_6.opb,1,17,0.0719757,0.0254143,0.127316,141,215
*,normalized-OGR_6.opb,1,0,0,0,0,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0630573,0.0213228,0.10092,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.220051,0.0667285,0.423224,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0001,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146161,0.0265447,0.193027,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.382883,0.150497,0.873419,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0003,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.2942,0.453934,34.9511,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0619202,0.0201624,0.10045,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.074753,0.0257662,0.118504,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0630521,0.0262732,0.109527,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0271832,0.049075,245,1233
$,normalized-j3028_7.std.opb,1,48,0.341023,0.324693,1.43159,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0007,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,251.743,0.523594,254.549,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.085514,0.0226968,0.126938,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0408406,0.0206041,0.0756994,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,2,50,3,100,0.0015,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0405493,0.0235847,0.0830093,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.071777,0.0243413,0.114695,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0,99,244
$,normalized-bogr_6.opb,1,17,0.0604433,0.027786,0.11808,139,216
*,normalized-bogr_6.opb,1,0,0,0,0,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0779389,0.019195,0.115441,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0,99,244
$,normalized-fx84.opb,1,8,0.842612,0.0767536,1.18534,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0001,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1225,0.286122,19.0187,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0772102,0.0245362,0.119658,99,185
*,normalized-cm42a.opb,1,0,0,0,0,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0437693,0.0242912,0.0826084,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,2,50,1,100,0.0017,144,70
$,normalized-fir06_area_opers.opb,1,23,0.943925,0.143233,1.41074,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0003,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0615256,0.0205383,0.0985166,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0,100,220
$,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.48636,0.269363,3.80166,23534,46798
