status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0431153,0.0216222,0.079293,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0029,26,27
$,normalized-OGR_6.opb,1,17,0.073881,0.0268743,0.133137,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.002,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0647708,0.0286204,0.111013,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0027,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.220762,0.0742249,0.431075,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0013,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146093,0.0268102,0.194767,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0024,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.381867,0.150866,0.876122,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0029,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.207,0.479381,34.9046,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0205,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0596876,0.0262,0.104557,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0026,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0716168,0.0252001,0.113828,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0027,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0619531,0.0270533,0.108267,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0026,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0241268,0.0454964,245,1233
$,normalized-j3028_7.std.opb,1,48,0.328523,0.327377,1.41262,18662,62670
*,normalized-j3028_7.std.opb,9,88.8889,38,100,0.0102,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.105,0.530031,254.919,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0025,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0851638,0.0254271,0.128042,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0027,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0447598,0.0259364,0.0842814,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0028,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0419716,0.0268597,0.0863477,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0029,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0722404,0.0252326,0.115846,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0027,99,244
$,normalized-bogr_6.opb,1,17,0.0605479,0.0281555,0.117843,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.002,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0728742,0.0266103,0.116763,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0024,99,244
$,normalized-fx84.opb,1,8,0.850128,0.0754304,1.18796,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0024,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.098,0.318261,19.0219,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0216,83000,1820
$,normalized-cm42a.opb,1,694,0.0763404,0.0251783,0.119083,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0028,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0582572,0.0289908,0.103034,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.003,144,70
$,normalized-fir06_area_opers.opb,1,23,0.939249,0.138516,1.40438,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0031,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0622011,0.0259133,0.104623,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0.0027,100,220
