status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0409784,0.0257376,0.0834324,26,27
*,normalized-hmittelman.lin.opb,1,100,1,100,0.003,26,27
$,normalized-OGR_6.opb,1,17,0.0718711,0.0290103,0.132151,141,215
*,normalized-OGR_6.opb,1,100,105,100,0.003,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0651396,0.0258948,0.108627,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0025,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.142897,0.0739433,0.353347,3540,9890
*,normalized-fir03_area_delay.opb,1,100,98,100,0.0059,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.147079,0.0257229,0.193755,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0024,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.386714,0.167866,0.886137,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,100,1560,100,0.0167,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.2498,0.552261,35.0067,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0886,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0627579,0.0262795,0.109335,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0026,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0754192,0.0260351,0.120414,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0026,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0632965,0.0242825,0.107759,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0024,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0257792,0.0458429,245,1233
$,normalized-j3028_7.std.opb,1,48,0.339883,0.365188,1.46543,18662,62670
*,normalized-j3028_7.std.opb,1,100,328,100,0.0284,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,143.768,0.859122,146.462,2504,2065
*,normalized-neos-859770.opb,1,100,255,100,0.1787,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0871239,0.0239595,0.129275,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0027,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0437677,0.0274426,0.0857959,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0028,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0424499,0.028037,0.0895973,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0029,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0711833,0.0281536,0.118315,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0025,99,244
$,normalized-bogr_6.opb,1,17,0.0585301,0.024522,0.112106,139,216
*,normalized-bogr_6.opb,1,100,105,100,0.0027,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0758749,0.0288491,0.122975,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0025,99,244
$,normalized-fx84.opb,1,8,0.839042,0.0823508,1.18685,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0104,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.117,0.343712,19.0729,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0477,83000,1820
$,normalized-cm42a.opb,1,694,0.0771121,0.0262187,0.12133,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0027,99,185
$,normalized-e64.b.opb,1,47,7.50378,0.0344019,7.58518,607,1022
*,normalized-e64.b.opb,1,100,64,100,0.0032,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0575311,0.0218289,0.0956662,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0024,144,70
$,normalized-fir06_area_opers.opb,1,23,0.936594,0.142209,1.40675,11085,23298
*,normalized-fir06_area_opers.opb,1,100,7,100,0.0109,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0606752,0.0277024,0.106801,100,220
