status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0412178,0.0240585,0.079759,26,27
*,normalized-hmittelman.lin.opb,2,50,5,100,0.0047,26,27
$,normalized-OGR_6.opb,1,17,0.0750086,0.0524959,0.15987,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0236,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0631766,0.0247688,0.106308,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0037,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.219516,0.0985974,0.45435,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0263,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.144655,0.0283883,0.194396,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0058,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,457.208,0.724878,458.782,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,2,50,8,100,0.4295,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.291897,5.82891,6.42335,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,11,90.9091,1701,100,5.6532,5530,24745
&,normalized-reduced-mps-v2-20-10-degen3.opb,timeout,-1,-1,-1,-1,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0655147,0.0282713,0.112219,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,2,50,1,100,0.0054,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0737458,0.0239179,0.116802,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0036,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0619754,0.0304465,0.110742,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0036,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0237366,0.0445875,245,1233
$,normalized-j3028_7.std.opb,1,48,0.344262,65.2667,66.3395,18662,62670
*,normalized-j3028_7.std.opb,2,100,1528,100,64.9496,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,195.999,42.9686,241.241,2504,2065
*,normalized-neos-859770.opb,6,83.3333,36,100,42.2244,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0833872,0.0260295,0.126711,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0036,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0434588,0.0371676,0.0941968,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,8,87.5,36,100,0.0153,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0400143,0.0300618,0.0891021,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,12,91.6667,13,100,0.0108,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0665733,0.0301179,0.115655,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,2,50,1,100,0.0056,99,244
$,normalized-bogr_6.opb,1,17,0.0592001,0.0395961,0.129411,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0164,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0747876,0.0247198,0.117409,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0035,99,244
$,normalized-fx84.opb,1,8,0.842429,0.349369,1.45477,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.2765,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
&,normalized-reduced-mps-v2-20-10-qap10.opb,timeout,-1,-1,-1,-1,83000,1820
$,normalized-cm42a.opb,1,694,0.0656847,0.0269482,0.111482,99,185
*,normalized-cm42a.opb,2,50,4,100,0.0039,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.056498,0.0298989,0.102172,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.005,144,70
$,normalized-fir06_area_opers.opb,1,23,0.931509,0.199369,1.45217,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0673,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0614041,0.0291373,0.107191,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0.0032,100,220
$,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.11671,50.5037,53.6358,23534,46798
