status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0422448,0.0254009,0.0841708,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0017,26,27
$,normalized-OGR_6.opb,1,17,0.0747341,0.0361959,0.143364,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0016,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0637975,0.0285815,0.110959,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0015,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.221761,0.0737391,0.434252,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0037,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.147244,0.0352883,0.202469,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0014,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.385864,0.163835,0.895932,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0119,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,4.24924,1.0018,6.85227,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,3,66.6667,55622,100,0.2627,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0628094,0.0254861,0.105702,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,2,50,2,100,0.0018,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0747966,0.0261214,0.118035,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0015,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0631033,0.0215459,0.104792,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0015,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0255509,0.0471428,245,1233
$,normalized-j3028_7.std.opb,1,48,0.347949,0.34023,1.45229,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0252,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.185,0.638091,255.101,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.1498,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0853835,0.0245852,0.126216,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0016,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0432032,0.025207,0.0816373,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,2,50,16,100,0.0019,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0409916,0.0223358,0.0804386,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0017,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0635203,0.02696,0.109064,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,2,50,2,100,0.0016,99,244
$,normalized-bogr_6.opb,1,17,0.0580488,0.0230059,0.111862,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0012,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.075186,0.0260784,0.117757,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0016,99,244
$,normalized-fx84.opb,1,8,0.468052,0.103309,0.807447,6088,6677
*,normalized-fx84.opb,2,50,16,100,0.0102,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
&,normalized-reduced-mps-v2-20-10-qap10.opb,timeout,-1,-1,-1,-1,83000,1820
$,normalized-cm42a.opb,1,694,0.0780563,0.0259946,0.122117,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0016,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0668041,0.0261128,0.107489,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,2,50,12,100,0.0018,144,70
$,normalized-fir06_area_opers.opb,1,23,0.935515,0.132692,1.39253,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0099,11085,23298
$,normalized-reduced-mps-v2-20-10-swath1.opb,1,262226,214.149,0.56909,216.195,53335,5302
*,normalized-reduced-mps-v2-20-10-swath1.opb,2,50,4664,100,0.1565,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0651365,0.0251759,0.107685,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0.0016,100,220
