status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0404557,0.025328,0.0785021,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0014,26,27
$,normalized-OGR_6.opb,1,17,0.0730444,0.0282396,0.132963,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0008,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0644127,0.0260488,0.108295,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0016,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.219962,0.0740432,0.430407,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0011,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.143618,0.0263663,0.192096,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.001,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.387617,0.147872,0.880368,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.004,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.158,0.484558,34.8546,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0151,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0595907,0.0252594,0.10285,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0015,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0742691,0.0274705,0.11696,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0014,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0610646,0.0224644,0.101336,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0011,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0255036,0.0489642,245,1233
$,normalized-j3028_7.std.opb,1,48,0.327519,0.378475,1.45889,18662,62670
*,normalized-j3028_7.std.opb,11,100,1124,100,0.0545,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,251.763,0.536797,254.582,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0001,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0886885,0.0251326,0.131534,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0014,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0450285,0.0262226,0.0857638,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0016,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0436702,0.0249939,0.0868271,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0017,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0685693,0.0257429,0.111422,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0013,99,244
$,normalized-bogr_6.opb,1,17,0.0603265,0.0297446,0.119725,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0008,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0741718,0.0284021,0.120599,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0014,99,244
$,normalized-fx84.opb,1,8,0.836221,0.0790556,1.17988,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0014,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,16.9724,0.281098,18.8444,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0005,83000,1820
$,normalized-cm42a.opb,1,694,0.0783587,0.0208905,0.117673,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0016,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0531281,0.0274022,0.0974667,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0013,144,70
$,normalized-fir06_area_opers.opb,1,23,0.935441,0.15033,1.41111,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0035,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0595257,0.0268129,0.102781,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0.0014,100,220
