status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0418441,0.0206827,0.0765741,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0,26,27
$,normalized-OGR_6.opb,1,17,0.0744158,0.0325382,0.139284,141,215
*,normalized-OGR_6.opb,1,0,0,0,0,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06316,0.0209761,0.102334,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.219329,0.0710911,0.427529,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0001,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146003,0.0225698,0.189399,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.381857,0.149681,0.875052,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0003,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.2929,0.470992,34.9923,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0027,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.060881,0.024007,0.103946,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0736068,0.02519,0.115673,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0641652,0.0242563,0.110986,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0260823,0.0485844,245,1233
$,normalized-j3028_7.std.opb,1,48,0.348822,0.327405,1.44523,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0007,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,251.699,0.511292,254.494,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0847754,0.0284048,0.1304,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0432317,0.0197723,0.0774535,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0444906,0.0170647,0.0799775,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0713523,0.0195446,0.1078,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0,99,244
$,normalized-bogr_6.opb,1,17,0.056483,0.022926,0.108622,139,216
*,normalized-bogr_6.opb,1,0,0,0,0,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0748176,0.0213062,0.112961,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0,99,244
$,normalized-fx84.opb,1,8,0.849184,0.0785878,1.19276,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0001,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1116,0.283091,18.9986,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0002,83000,1820
$,normalized-cm42a.opb,1,694,0.0777203,0.0184286,0.114619,99,185
*,normalized-cm42a.opb,1,0,0,0,0,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0564347,0.025198,0.0965971,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0,144,70
$,normalized-fir06_area_opers.opb,1,23,0.93483,0.133701,1.39394,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0002,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0589373,0.0210643,0.0967364,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0,100,220
$,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.49975,0.266781,3.80668,23534,46798
