status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0425953,0.0229454,0.0812473,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0032,26,27
$,normalized-OGR_6.opb,1,17,0.0738268,0.0313376,0.135892,141,215
*,normalized-OGR_6.opb,2,50,15,100,0.0099,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0625095,0.0253269,0.106641,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0029,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.218347,0.0875554,0.442817,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0092,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.148253,0.0377848,0.227855,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0034,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.386928,0.169576,0.900786,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.023,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.3816,0.531272,35.1166,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0822,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.061983,0.0260108,0.106622,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0029,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0744762,0.0242345,0.116771,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0029,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0585541,0.0244966,0.0993942,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0027,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0260249,0.0440975,245,1233
$,normalized-j3028_7.std.opb,1,48,0.344748,0.355944,1.46702,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0553,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.219,0.548497,255.066,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0354,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0863416,0.0271216,0.132017,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.003,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0455666,0.0267878,0.0865822,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0033,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0434379,0.0260019,0.0871293,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0029,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0719268,0.0270848,0.117954,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0034,99,244
$,normalized-bogr_6.opb,1,17,0.0593258,0.0385947,0.12751,139,216
*,normalized-bogr_6.opb,2,50,15,100,0.0098,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0771386,0.0279101,0.121684,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0029,99,244
$,normalized-fx84.opb,1,8,0.845709,0.095822,1.20817,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0213,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0613,0.294822,18.9736,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0774732,0.0247115,0.120818,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0029,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.056773,0.0290575,0.102317,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0033,144,70
$,normalized-fir06_area_opers.opb,1,23,0.938148,0.157039,1.42451,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0217,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0618411,0.0289506,0.108209,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0.0028,100,220
