status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0431826,0.0247773,0.0843417,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0024,26,27
$,normalized-OGR_6.opb,1,17,0.0720588,0.0242116,0.127791,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0012,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0641905,0.0287345,0.111753,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0036,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.21812,0.070421,0.42601,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0015,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.148099,0.0283092,0.197227,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0032,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.380836,0.147639,0.867357,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0014,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,9.03968,0.692182,11.9364,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,100,16,100,0.0117,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0608964,0.026903,0.105186,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0036,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0738436,0.0291086,0.120251,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0037,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0636006,0.0270941,0.112166,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0019,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.025925,0.0481673,245,1233
$,normalized-j3028_7.std.opb,1,48,0.349481,0.334812,1.45388,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0017,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,210.924,0.829414,214.054,2504,2065
*,normalized-neos-859770.opb,1,100,19,94.7368,0.1044,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0851862,0.0261395,0.1288,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0035,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0432054,0.0272859,0.0844788,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.004,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0441477,0.0228466,0.0868479,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0043,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0705482,0.0287689,0.118349,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0034,99,244
$,normalized-bogr_6.opb,1,17,0.0598776,0.0230206,0.113458,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0013,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0763831,0.0283985,0.123014,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0036,99,244
$,normalized-fx84.opb,1,8,0.839581,0.0808532,1.18147,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0035,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1429,0.292092,19.0387,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0108,83000,1820
$,normalized-cm42a.opb,1,694,0.0778543,0.0281405,0.124512,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0019,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0569505,0.0315484,0.104314,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0036,144,70
$,normalized-fir06_area_opers.opb,1,23,0.935106,0.135435,1.39649,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0016,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0620626,0.0264025,0.107655,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0.002,100,220
