status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0427996,0.0223185,0.0798017,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0028,26,27
$,normalized-OGR_6.opb,1,17,0.0726744,0.0259074,0.131746,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0019,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0633571,0.0237557,0.104678,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0026,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,103.101,0.204637,103.806,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50,415,7.46988,0.0642,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.215892,0.0682206,0.421714,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0022,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.145179,0.0269448,0.194793,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0023,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.386095,0.146381,0.871189,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0023,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,21.8556,0.63976,24.6863,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,2,50,130,7.69231,0.0091,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0628793,0.022234,0.102769,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0025,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.073465,0.0210847,0.111556,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0026,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0620822,0.0230991,0.105039,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0025,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0264666,0.0480052,245,1233
$,normalized-j3028_7.std.opb,1,48,0.344153,0.316311,1.42619,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0023,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.519,0.535969,255.348,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0022,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0838924,0.0214592,0.123124,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0025,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0429819,0.0266263,0.084408,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0028,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.04131,0.0243156,0.0836166,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0028,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.07092,0.0276542,0.11633,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0025,99,244
$,normalized-bogr_6.opb,1,17,0.0622476,0.0281919,0.121833,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.002,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0758785,0.0228717,0.117102,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0024,99,244
$,normalized-fx84.opb,1,8,0.839077,0.0745475,1.17904,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.002,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0671,0.315529,18.9948,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0022,83000,1820
$,normalized-cm42a.opb,1,694,0.115487,0.0271243,0.16221,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0026,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0556889,0.0264376,0.096936,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0027,144,70
$,normalized-fir06_area_opers.opb,1,23,0.934849,0.127338,1.39084,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0023,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0595692,0.0251751,0.101589,100,220
