status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.04246,0.00002,0.05358,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0.00000,0.00000,26,27
$,normalized-OGR_6.opb,1,17,0.07283,0.00001,0.08660,141,215
*,normalized-OGR_6.opb,1,0,0,0.00000,0.00000,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06977,0.00277,0.08531,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,1,81,1.00000,0.00280,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.18701,0.02730,0.24824,3540,9890
*,normalized-fir03_area_delay.opb,1,1,1890,0.99788,0.02730,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.14707,0.00004,0.15939,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0.00000,0.00000,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.45977,0.07587,0.60623,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,1,15398,0.99825,0.07590,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.35464,0.00206,32.53036,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0.00000,0.00210,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.04984,0.00277,0.06521,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,1,81,1.00000,0.00280,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.07272,0.00303,0.08906,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,1,81,1.00000,0.00300,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.06264,0.00017,0.07646,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0.00000,0.00020,100,350
$,normalized-995.cudf.trendy.opb,0,0,0.02741,0.00303,0.04600,245,1233
*,normalized-995.cudf.trendy.opb,1,1,139,0.71223,0.00300,245,1233
$,normalized-j3028_7.std.opb,1,48,0.39206,0.22727,0.75629,18662,62670
*,normalized-j3028_7.std.opb,1,1,10361,1.00000,0.22730,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,250.99964,0.00022,251.16680,2504,2065
*,normalized-neos-859770.opb,1,0,0,0.00000,0.00020,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.06120,0.00273,0.07786,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,1,81,1.00000,0.00270,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.04617,0.00006,0.05615,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0.00000,0.00010,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.04194,0.00000,0.05279,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0.00000,0.00000,56,5
$,normalized-mspp16.opb,1,33,46.42560,8.87200,61.15847,29280,561657
*,normalized-mspp16.opb,1,0,0,0.00000,8.87200,29280,561657
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.05555,0.00259,0.07068,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,1,81,1.00000,0.00260,99,244
$,normalized-bogr_6.opb,1,17,0.06034,0.00002,0.07402,139,216
*,normalized-bogr_6.opb,1,0,0,0.00000,0.00000,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.05868,0.00278,0.07522,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,1,81,1.00000,0.00280,99,244
$,normalized-fx84.opb,1,8,0.85805,0.03783,0.92498,6088,6677
*,normalized-fx84.opb,1,0,0,0.00000,0.03780,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,16.90118,0.00316,17.02796,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0.00000,0.00320,83000,1820
$,normalized-cm42a.opb,1,694,0.07996,0.00248,0.09602,99,185
*,normalized-cm42a.opb,1,1,30,1.00000,0.00250,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.05567,0.00014,0.06645,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0.00000,0.00010,144,70
$,normalized-fir06_area_opers.opb,1,23,6.12009,0.08512,6.27635,11085,23298
*,normalized-fir06_area_opers.opb,1,1,5545,1.00000,0.08510,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
