,solvedIns,solveTime,preTime,optfasterNum,up mean(%),up median(%),optslowerNum,down mean(%),down median(%),nCall,nApplied(%),red%
roundingSat,997,23.880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doubletoneq,992,23.937,0.255,63,37.05,35.62,28,102.58,32.97,1.08,7.57,2.53
defaultPaPILO,991,23.527,0.250,6,NA,NA,12,NA,NA,NA,NA,NA
SimpleProbing,990,23.459,0.249,5,NA,NA,12,NA,NA,1.00,0.00,NA
Stuffing,990,24.786,0.261,22,21.41,10.08,27,484.50,98.45,1.03,3.08,0.64
ColSingleton,988,24.564,0.261,20,25.16,22.00,31,417.63,79.31,1.03,3.08,0.64
DualFix,987,23.470,0.266,111,18.67,18.03,21,2804.36,14.99,2.36,11.74,0.33
Propagation,987,22.149,0.303,285,38.53,33.67,56,141.96,41.24,1.60,32.82,61.99
PureLit,987,23.779,0.286,179,26.50,20.44,44,1240.40,14.95,2.62,21.09,8.26
SimplifyIneq,987,23.374,0.292,34,28.02,22.05,25,135.66,49.84,1.05,3.81,9.01
Sparsify,986,23.592,0.739,42,39.67,34.91,39,272.00,96.92,1.00,6.08,2.35
HBR,984,21.802,0.484,342,32.70,32.60,160,54.63,11.39,1.00,48.98,0.26
ParallelRow,982,21.752,0.276,292,26.86,18.56,108,233.89,39.62,1.00,38.99,6.18
CoeffStrengthen,970,23.090,0.269,107,19.68,15.69,58,1071.99,9.80,1.17,13.39,6.23
Probing,933,18.838,18.002,454,35.55,33.24,154,460.72,41.77,2.48,57.52,20.64
