status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
@,normalized-hmittelman.lin.opb,1,13,0.0710525,0,0.0710525,26,27
@,normalized-OGR_6.opb,1,17,0.125536,0,0.125536,141,215
@,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.10351,0,0.10351,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
@,normalized-fir03_area_delay.opb,1,10,0.201481,0,0.201481,3540,9890
@,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.17592,0,0.17592,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
&,normalized-50-250-false-45-90-4-6000opt.opb,timeout,-1,-1,-1,-1,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
@,normalized-rand767898.cudf.paranoid.opb,1,4821,0.434972,0,0.434972,5530,24745
@,normalized-reduced-mps-v2-20-10-degen3.opb,0,-,32.5698,0,32.5698,54540,1503
@,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0714434,0,0.0714434,99,244
@,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.107904,0,0.107904,99,244
@,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0739734,0,0.0739734,100,350
@,normalized-995.cudf.trendy.opb,0,-,0.146875,0,0.146875,245,1233
@,normalized-j3028_7.std.opb,1,48,0.355632,0,0.355632,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
@,normalized-neos-859770.opb,0,-,252.226,0,252.226,2504,2065
@,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.138278,0,0.138278,99,244
@,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0783583,0,0.0783583,64,46
@,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.055398,0,0.055398,56,5
@,normalized-mspp16.opb,1,33,46.9624,0,46.9624,29280,561657
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
@,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.09432,0,0.09432,99,244
@,normalized-bogr_6.opb,1,17,0.0709588,0,0.0709588,139,216
@,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.109514,0,0.109514,99,244
@,normalized-fx84.opb,1,8,0.894706,0,0.894706,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
@,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0719,0,17.0719,83000,1820
@,normalized-cm42a.opb,1,694,0.0871666,0,0.0871666,99,185
&,normalized-e64.b.opb,timeout,-1,-1,-1,-1,607,1022
@,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0857587,0,0.0857587,144,70
@,normalized-fir06_area_opers.opb,1,23,0.905625,0,0.905625,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
@,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0841911,0,0.0841911,100,220
@,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.55515,0,2.55515,23534,46798
@,normalized-mps-v2-20-10-net12.opb,1,214,2.8306,0,2.8306,147395,26533
@,normalized-factor-size=9-P=157-Q=163.opb,1,157,0.101427,0,0.101427,99,244
@,normalized-lo_10x10_006.opb.metafix.opb,1,40,0.0770694,0,0.0770694,100,58
&,normalized-mul_8_13_shg.opb,timeout,-1,-1,-1,-1,15312,65280
&,normalized-matrix_5x3_2.opb,timeout,-1,-1,-1,-1,8901,32298
@,normalized-reduced-mps-v2-20-10-enigma.opb,1,0,0.112364,0,0.112364,100,21
&,normalized-market-split_8_70_2.opb,timeout,-1,-1,-1,-1,71,17
@,normalized-factor-size=9-P=251-Q=307.opb,1,251,0.101042,0,0.101042,99,244
&,normalized-j1206_4.std.opb,timeout,-1,-1,-1,-1,72842,234497
@,normalized-f20c10b_025_area_delay.opb,1,25,71.6526,0,71.6526,16199,117024
&,normalized-m100_300_10_20.r.opb,timeout,-1,-1,-1,-1,299,100
&,normalized-aug4.5.opb,timeout,-1,-1,-1,-1,9632,29620
&,normalized-aug6.5.opb,timeout,-1,-1,-1,-1,9632,29620
&,normalized-bench1.r.opb,timeout,-1,-1,-1,-1,4688,403
&,normalized-reduced-mps-v2-20-10-gesa2.opb,timeout,-1,-1,-1,-1,19344,1824
&,normalized-30_30_4.5_0.95_100.opb,timeout,-1,-1,-1,-1,4617,5280
@,normalized-lo_10x10_001.opb.metafix.opb,1,52,0.0790848,0,0.0790848,100,58
@,normalized-j9027_5.std.opb,1,99,0.933946,0,0.933946,54782,184432
@,normalized-rand271a0d.cudf.paranoid.opb,0,-,0.103827,0,0.103827,5453,24268
@,normalized-factor-size=9-P=449-Q=479.opb,1,449,0.0779001,0,0.0779001,99,244
@,normalized-g9x9.opb,1,20,0.224224,0,0.224224,81,81
@,normalized-lo_16x16_002.opb.metafix.opb,1,115,0.115214,0,0.115214,256,94
