status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0415986,0.0211094,0.0781476,26,27
$,normalized-OGR_6.opb,1,17,0.07347,0.026419,0.13444,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0634773,0.0234676,0.103988,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1204.93,0.109076,1205.53,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.21846,0.076237,0.431823,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146595,0.0207592,0.187206,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,532.917,0.192893,533.942,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.386871,0.141563,0.87076,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.3134,0.474764,34.9892,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0605037,0.0212752,0.0975973,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0746826,0.0258327,0.118759,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0641843,0.0242267,0.110696,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0253564,0.0475603,245,1233
$,normalized-j3028_7.std.opb,1,48,0.342565,0.314873,1.42317,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.245,0.504665,255.028,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0857544,0.0257944,0.130918,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0424333,0.0281042,0.0860289,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0444931,0.021847,0.0871558,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0711731,0.0205779,0.109148,99,244
$,normalized-bogr_6.opb,1,17,0.0597949,0.0278571,0.11858,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.075711,0.0245731,0.120222,99,244
$,normalized-fx84.opb,1,8,0.848994,0.0762557,1.21539,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.114,0.275117,18.9859,83000,1820
$,normalized-cm42a.opb,1,694,0.0789519,0.0242464,0.122715,99,185
$,normalized-e64.b.opb,1,47,758.735,0.0279264,758.811,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0561675,0.023567,0.0957942,144,70
$,normalized-fir06_area_opers.opb,1,23,0.934834,0.136799,1.39775,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0608113,0.0183877,0.121499,100,220
$,normalized-mps-v2-20-10-neos10.opb,1,-1135,2.48356,0.260452,3.78049,23534,46798
$,normalized-mps-v2-20-10-net12.opb,1,214,2.72748,0.442523,5.50614,147395,26533
$,normalized-factor-size=9-P=157-Q=163.opb,1,157,0.0706984,0.0213632,0.110415,99,244
$,normalized-lo_10x10_006.opb.metafix.opb,1,40,0.0514501,0.0243195,0.0903761,100,58
&,normalized-mul_8_13_shg.opb,timeout,-1,-1,-1,-1,15312,65280
&,normalized-matrix_5x3_2.opb,timeout,-1,-1,-1,-1,8901,32298
$,normalized-reduced-mps-v2-20-10-enigma.opb,1,0,0.102004,0.0278004,0.146881,100,21
&,normalized-market-split_8_70_2.opb,timeout,-1,-1,-1,-1,71,17
$,normalized-factor-size=9-P=251-Q=307.opb,1,251,0.075799,0.0249666,0.119281,99,244
&,normalized-j1206_4.std.opb,timeout,-1,-1,-1,-1,72842,234497
$,normalized-f20c10b_025_area_delay.opb,1,25,15.3249,0.540438,17.3691,16199,117024
&,normalized-m100_300_10_20.r.opb,timeout,-1,-1,-1,-1,299,100
&,normalized-aug4.5.opb,timeout,-1,-1,-1,-1,9632,29620
&,normalized-aug6.5.opb,timeout,-1,-1,-1,-1,9632,29620
$,normalized-bench1.r.opb,1,121,1625.88,0.0311623,1625.97,4688,403
&,normalized-reduced-mps-v2-20-10-gesa2.opb,timeout,-1,-1,-1,-1,19344,1824
&,normalized-30_30_4.5_0.95_100.opb,timeout,-1,-1,-1,-1,4617,5280
$,normalized-lo_10x10_001.opb.metafix.opb,1,52,0.0501845,0.0241658,0.0888919,100,58
$,normalized-j9027_5.std.opb,1,99,0.873441,0.883862,3.9992,54782,184432
$,normalized-rand271a0d.cudf.paranoid.opb,0,0,0,0.0768974,0.210086,5453,24268
$,normalized-factor-size=9-P=449-Q=479.opb,1,449,0.0502202,0.0201984,0.0886452,99,244
