status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0412497,0.0238617,0.0792718,26,27
*,normalized-hmittelman.lin.opb,2,50,3,100,0.0017,26,27
$,normalized-OGR_6.opb,1,17,0.0714515,0.0302195,0.13211,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0008,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0647166,0.027754,0.109871,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0015,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,617.173,0.139417,617.797,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50,38,100,0.0019,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.218192,0.0704736,0.425395,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0032,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.147115,0.0252994,0.194543,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0014,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,533.839,0.226514,534.899,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.024,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.392033,0.162145,0.904456,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0093,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.1977,0.485966,34.88,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0346,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0606369,0.0216523,0.101426,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0015,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0726934,0.0265331,0.117124,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0015,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0621474,0.0237744,0.107342,100,350
*,normalized-aim-50-6_0-yes1-1.opb,2,50,1,100,0.0015,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0257958,0.0490625,245,1233
$,normalized-j3028_7.std.opb,1,48,0.345605,0.347025,1.46327,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0218,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.459,0.579737,255.323,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0465,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0862524,0.0271615,0.133206,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0013,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0403944,0.029713,0.0849491,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0016,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0418135,0.0259888,0.0877205,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,2,50,2,100,0.0016,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0712592,0.0207392,0.109204,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-bogr_6.opb,1,17,0.0559733,0.0339353,0.119788,139,216
*,normalized-bogr_6.opb,2,50,24,100,0.0009,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.076275,0.0266254,0.120061,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-fx84.opb,1,8,0.83957,0.0752235,1.1791,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0045,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1052,0.279441,19.0086,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0773129,0.0250121,0.119822,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0014,99,185
$,normalized-e64.b.opb,1,47,752.431,0.0330491,752.514,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0007,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0559798,0.0274369,0.100071,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0015,144,70
$,normalized-fir06_area_opers.opb,1,23,0.938092,0.152513,1.41891,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0084,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
