status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0435512,0.0237246,0.0836832,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0031,26,27
$,normalized-OGR_6.opb,1,17,0.0747944,0.0316869,0.138163,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0023,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0637751,0.0316836,0.109726,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0028,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1205.81,0.107189,1206.41,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0,0,0.0036,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.219596,0.0691532,0.428739,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0017,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.148607,0.0236047,0.192068,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0026,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,532.43,0.206914,533.481,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0014,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.382771,0.145796,0.872434,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0025,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.3997,0.470729,35.0882,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0201,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0593716,0.0218991,0.099466,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0024,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.073901,0.0245744,0.117347,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0027,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0625289,0.0293886,0.111892,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0027,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0255405,0.0478089,245,1233
$,normalized-j3028_7.std.opb,1,48,0.323972,0.327274,1.39169,18662,62670
*,normalized-j3028_7.std.opb,9,88.8889,38,100,0.0098,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.309,0.532891,255.125,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0026,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0851933,0.028091,0.132596,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0027,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0431165,0.0226932,0.0792409,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0028,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0421963,0.0248387,0.0830207,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.003,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.069397,0.0229056,0.111353,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0023,99,244
$,normalized-bogr_6.opb,1,17,0.0596771,0.031865,0.120837,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0021,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0765833,0.0252166,0.118646,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0027,99,244
$,normalized-fx84.opb,1,8,0.843395,0.0702344,1.17548,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.002,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1171,0.307332,19.0374,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0222,83000,1820
$,normalized-cm42a.opb,1,694,0.0791957,0.029394,0.129066,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0032,99,185
$,normalized-e64.b.opb,1,47,758.234,0.0296523,758.313,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0016,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0555214,0.0251143,0.0963249,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0026,144,70
$,normalized-fir06_area_opers.opb,1,23,0.933143,0.143445,1.40415,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0037,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
