status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0407806,0.0275962,0.0841977,26,27
*,normalized-hmittelman.lin.opb,1,100,1,100,0.0028,26,27
$,normalized-OGR_6.opb,1,17,0.0731057,0.0328188,0.136679,141,215
*,normalized-OGR_6.opb,1,100,105,100,0.0029,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0634784,0.0255138,0.106807,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0028,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1208.69,0.119064,1209.29,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0,0,0.0182,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.143415,0.0805464,0.359915,3540,9890
*,normalized-fir03_area_delay.opb,1,100,98,100,0.0063,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146098,0.0299237,0.19709,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0024,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,533.412,0.229567,534.479,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0287,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.39085,0.171871,0.89343,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,100,1560,100,0.0171,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.4128,0.573686,35.2114,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0892,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0622216,0.0224781,0.102393,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0026,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0739474,0.0234598,0.115142,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0026,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0626971,0.026983,0.109293,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0025,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0234193,0.0651067,245,1233
$,normalized-j3028_7.std.opb,1,48,0.345681,0.339702,1.44539,18662,62670
*,normalized-j3028_7.std.opb,1,100,328,100,0.0244,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,144.284,0.903739,147.013,2504,2065
*,normalized-neos-859770.opb,1,100,255,100,0.1803,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0840978,0.0254333,0.127278,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0026,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0435344,0.0270195,0.0861621,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0026,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0416099,0.0266128,0.0858062,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0028,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0713377,0.0252036,0.114257,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0026,99,244
$,normalized-bogr_6.opb,1,17,0.0590758,0.0261159,0.114829,139,216
*,normalized-bogr_6.opb,1,100,105,100,0.0027,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0743477,0.0254213,0.118743,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0027,99,244
$,normalized-fx84.opb,1,8,0.84376,0.0800764,1.18928,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0099,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0963,0.333604,19.0375,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.045,83000,1820
$,normalized-cm42a.opb,1,694,0.0767413,0.0266955,0.122906,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0026,99,185
$,normalized-e64.b.opb,1,47,7.49514,0.0358922,7.58003,607,1022
*,normalized-e64.b.opb,1,100,64,100,0.003,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0557481,0.0259062,0.0982826,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0024,144,70
$,normalized-fir06_area_opers.opb,1,23,0.940596,0.15333,1.42087,11085,23298
*,normalized-fir06_area_opers.opb,1,100,7,100,0.0109,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
