status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0415788,0.027295,0.0840009,26,27
*,normalized-hmittelman.lin.opb,2,50,5,100,0.005,26,27
$,normalized-OGR_6.opb,1,17,0.0735723,0.0433298,0.147087,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0223,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0631609,0.0297505,0.110356,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0036,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.21727,0.093988,0.449145,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0264,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146863,0.0332532,0.200908,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0059,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,456.253,0.717495,457.838,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,2,50,8,100,0.4299,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.296447,5.84666,6.44917,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,11,90.9091,1701,100,5.6667,5530,24745
&,normalized-reduced-mps-v2-20-10-degen3.opb,timeout,-1,-1,-1,-1,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0629143,0.0293949,0.108801,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,2,50,1,100,0.0053,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0778246,0.0271294,0.121185,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0037,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0618085,0.024075,0.104879,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0037,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0294141,0.0531018,245,1233
$,normalized-j3028_7.std.opb,1,48,0.351486,180.33,181.388,18662,62670
*,normalized-j3028_7.std.opb,6,100,1792,100,179.981,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,196.181,44.2132,242.745,2504,2065
*,normalized-neos-859770.opb,6,83.3333,36,100,43.4795,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0850173,0.0281917,0.13043,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0037,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0416603,0.0358093,0.0903888,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,8,87.5,36,100,0.0147,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0412766,0.034391,0.0970955,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,12,91.6667,13,100,0.0109,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0626533,0.0312612,0.110168,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,2,50,1,100,0.0054,99,244
$,normalized-bogr_6.opb,1,17,0.058573,0.0396098,0.137139,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.015,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0747984,0.0280536,0.119744,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0037,99,244
$,normalized-fx84.opb,1,8,0.840825,0.35025,1.45529,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.2777,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
&,normalized-reduced-mps-v2-20-10-qap10.opb,timeout,-1,-1,-1,-1,83000,1820
$,normalized-cm42a.opb,1,694,0.0656705,0.0275008,0.112679,99,185
*,normalized-cm42a.opb,2,50,4,100,0.004,99,185
$,normalized-e64.b.opb,1,47,756.292,0.0328082,756.373,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0076,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0577554,0.0308868,0.105328,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0046,144,70
$,normalized-fir06_area_opers.opb,1,23,0.952965,0.195192,1.47609,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0671,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
$,normalized-aim-50-3_4-yes1-4.opb,1,50,0.0610915,0.0267778,0.103992,100,220
*,normalized-aim-50-3_4-yes1-4.opb,1,0,0,0,0.0033,100,220
