status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0421851,0.0219415,0.0779631,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0019,26,27
$,normalized-OGR_6.opb,1,17,0.074403,0.0235176,0.129736,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0015,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0640684,0.0257539,0.106037,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0017,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,671.082,0.41179,671.897,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,10,100,23170,100,0.2517,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.219129,0.0710172,0.42745,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0037,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146601,0.02719,0.19472,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0014,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,532.274,0.237797,533.338,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0304,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.38238,0.158581,0.881302,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0119,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,4.27473,0.983423,6.86342,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,3,66.6667,55622,100,0.2664,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0632926,0.0240061,0.10579,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,2,50,2,100,0.0019,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0730967,0.0234793,0.113729,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0015,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0617648,0.0259954,0.106689,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0015,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0210861,0.0418078,245,1233
$,normalized-j3028_7.std.opb,1,48,0.347915,0.338442,1.45066,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0252,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.177,0.718099,255.194,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.1506,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0851684,0.0256951,0.129218,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0016,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0441545,0.0250963,0.0844552,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,2,50,16,100,0.0018,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0425505,0.0258375,0.088131,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0019,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0654201,0.0229425,0.105815,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,2,50,2,100,0.0018,99,244
$,normalized-bogr_6.opb,1,17,0.0594502,0.0294527,0.118303,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0014,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0751567,0.0255189,0.117841,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-fx84.opb,1,8,0.46988,0.106509,0.810529,6088,6677
*,normalized-fx84.opb,2,50,16,100,0.0101,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
&,normalized-reduced-mps-v2-20-10-qap10.opb,timeout,-1,-1,-1,-1,83000,1820
$,normalized-cm42a.opb,1,694,0.0766507,0.0272537,0.122008,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0015,99,185
$,normalized-e64.b.opb,1,47,760.723,0.0496459,760.827,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0069,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0672486,0.0332259,0.116874,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,2,50,12,100,0.0018,144,70
$,normalized-fir06_area_opers.opb,1,23,0.936622,0.143323,1.4078,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0098,11085,23298
$,normalized-reduced-mps-v2-20-10-swath1.opb,1,262226,214.177,0.576218,216.212,53335,5302
*,normalized-reduced-mps-v2-20-10-swath1.opb,2,50,4664,100,0.157,53335,5302
