status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0445433,0.0252608,0.084042,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0018,26,27
$,normalized-OGR_6.opb,1,17,0.0737475,0.0301547,0.135909,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0007,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0617118,0.0213849,0.0982303,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0013,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.217663,0.070206,0.423516,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0012,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.144481,0.0228135,0.187907,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0011,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,532.192,0.203794,533.256,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0026,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.384601,0.155072,0.882852,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0041,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.3691,0.48644,35.0887,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.016,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0598301,0.0252028,0.103379,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0014,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0737414,0.019936,0.110536,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0014,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0629314,0.0226422,0.105429,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0014,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0270313,0.0493228,245,1233
$,normalized-j3028_7.std.opb,1,48,0.328808,0.369493,1.44489,18662,62670
*,normalized-j3028_7.std.opb,11,100,1124,100,0.0485,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.466,0.529957,255.278,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0001,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0847135,0.0209296,0.123427,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0015,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0426497,0.0234207,0.0815589,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0017,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0435435,0.0251213,0.0882916,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0019,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0714949,0.0256279,0.114836,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-bogr_6.opb,1,17,0.0589661,0.0262638,0.115915,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0006,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0760523,0.0199192,0.114105,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0015,99,244
$,normalized-fx84.opb,1,8,0.851296,0.0787698,1.19397,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0014,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.2443,0.306636,19.1607,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0006,83000,1820
$,normalized-cm42a.opb,1,694,0.078241,0.020215,0.116983,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0016,99,185
$,normalized-e64.b.opb,1,47,751.956,0.032487,752.04,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0006,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0569572,0.025187,0.0969121,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0016,144,70
$,normalized-fir06_area_opers.opb,1,23,0.944387,0.133128,1.40492,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0032,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
