status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.043793,0.0211006,0.0812697,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0,26,27
$,normalized-OGR_6.opb,1,17,0.0706952,0.0232893,0.125855,141,215
*,normalized-OGR_6.opb,1,0,0,0,0,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0645538,0.022857,0.103759,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1197.9,0.101521,1198.49,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0,0,0.0001,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.220572,0.0734465,0.431164,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0001,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146967,0.0275292,0.207513,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,532.746,0.201135,533.773,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0006,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.383077,0.153496,0.88155,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0003,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.3827,0.499867,35.088,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0028,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0619449,0.0260539,0.104909,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0738207,0.0239904,0.115926,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0630793,0.0270859,0.108402,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0252553,0.046262,245,1233
$,normalized-j3028_7.std.opb,1,48,0.340421,0.320633,1.42296,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0006,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.227,0.494708,255.044,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0855678,0.0313595,0.134665,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0432999,0.0243146,0.0819933,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0428844,0.019205,0.0823104,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0697887,0.0264794,0.114406,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0,99,244
$,normalized-bogr_6.opb,1,17,0.0592224,0.0216856,0.110954,139,216
*,normalized-bogr_6.opb,1,0,0,0,0,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0754822,0.0266306,0.121013,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0,99,244
$,normalized-fx84.opb,1,8,0.846616,0.0688806,1.1832,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0001,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1307,0.295076,19.0373,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0002,83000,1820
$,normalized-cm42a.opb,1,694,0.0779079,0.0235889,0.120691,99,185
*,normalized-cm42a.opb,1,0,0,0,0,99,185
$,normalized-e64.b.opb,1,47,839.607,0.0305265,839.686,607,1022
*,normalized-e64.b.opb,1,0,0,0,0,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0569263,0.0235461,0.0971546,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0,144,70
$,normalized-fir06_area_opers.opb,1,23,0.935846,0.131143,1.39301,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0002,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
