status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0407985,0.0271492,0.0816332,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.003,26,27
$,normalized-OGR_6.opb,1,17,0.0727089,0.037078,0.140518,141,215
*,normalized-OGR_6.opb,2,50,15,100,0.0103,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0646822,0.0276374,0.110331,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0031,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,624.072,0.149666,624.711,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50,2,100,0.011,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.219289,0.0790577,0.43687,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0098,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.145185,0.0311759,0.197858,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0031,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,531.068,0.255809,532.161,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0522,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.391118,0.171327,0.934151,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0226,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.381,0.548018,35.1459,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0,0.0829,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0628346,0.0217755,0.102123,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0029,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0737561,0.0264377,0.119833,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0029,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0625886,0.0240319,0.105162,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0034,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0346624,0.0573198,245,1233
$,normalized-j3028_7.std.opb,1,48,0.342863,0.365803,1.4817,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.057,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.724,0.541452,255.538,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.036,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0853451,0.0279801,0.131389,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.003,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0425266,0.0255983,0.0823378,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0031,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0417517,0.0262257,0.0869893,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0032,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0700527,0.0214473,0.109493,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0026,99,244
$,normalized-bogr_6.opb,1,17,0.057319,0.0374001,0.126201,139,216
*,normalized-bogr_6.opb,2,50,15,100,0.01,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0755358,0.0301555,0.122204,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0031,99,244
$,normalized-fx84.opb,1,8,0.84135,0.0974113,1.20489,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.022,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.0268,0.282278,18.9161,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0,83000,1820
$,normalized-cm42a.opb,1,694,0.0777517,0.0310973,0.128055,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0033,99,185
$,normalized-e64.b.opb,1,47,751.188,0.0319114,751.267,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0034,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0548735,0.0241635,0.0943319,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0031,144,70
$,normalized-fir06_area_opers.opb,1,23,0.934508,0.155375,1.41689,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0214,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
