status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0414764,0.0241192,0.0807044,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0023,26,27
$,normalized-OGR_6.opb,1,17,0.0740958,0.0243443,0.131491,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0012,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.061356,0.0246714,0.10382,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0036,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
&,normalized-reduced-mps-v2-20-10-tuff.opb,timeout,-1,-1,-1,-1,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.21743,0.0723745,0.426781,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0018,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.146319,0.0262922,0.193971,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0031,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,533.393,0.196897,534.421,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0017,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.385174,0.150426,0.878505,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0017,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,9.07035,0.680906,11.9812,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,100,16,100,0.0126,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0609323,0.024708,0.104612,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0036,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0742158,0.0241171,0.116291,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0034,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0611659,0.0198382,0.0993912,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0019,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0247733,0.0481559,245,1233
$,normalized-j3028_7.std.opb,1,48,0.348936,0.311918,1.43528,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0017,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,211.708,0.819988,214.894,2504,2065
*,normalized-neos-859770.opb,1,100,19,94.7368,0.1118,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0855644,0.0239585,0.127961,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0038,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.0440763,0.0294817,0.0879029,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0038,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0423692,0.0271549,0.0884581,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0041,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0714518,0.0256616,0.1145,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0034,99,244
$,normalized-bogr_6.opb,1,17,0.0598302,0.0237375,0.11604,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.0013,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0745851,0.022299,0.116002,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0035,99,244
$,normalized-fx84.opb,1,8,0.842574,0.0759895,1.18311,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0036,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1381,0.304242,19.0611,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0113,83000,1820
$,normalized-cm42a.opb,1,694,0.0773534,0.0213515,0.116717,99,185
*,normalized-cm42a.opb,1,0,0,0,0.002,99,185
$,normalized-e64.b.opb,1,47,753.077,0.029587,753.172,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0013,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0579698,0.0286595,0.104148,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0039,144,70
$,normalized-fir06_area_opers.opb,1,23,0.938488,0.140259,1.40516,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0018,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
&,normalized-reduced-mps-v2-20-10-air05.opb,timeout,-1,-1,-1,-1,7195,426
