status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0428546,0.0243324,0.0795391,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0,0.0026,26,27
$,normalized-OGR_6.opb,1,17,0.0724429,0.0271331,0.1308,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0019,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0629275,0.0259307,0.106553,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0024,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,104.521,0.206549,105.231,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,2,50,415,7.46988,0.0643,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.22105,0.0697052,0.430074,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0021,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.14735,0.0238868,0.190457,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0023,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,534.988,0.218674,536.039,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0023,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.38553,0.153889,0.879837,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,0,0,0,0.0023,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,21.7608,0.640224,24.6094,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,2,50,130,7.69231,0.0089,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.0614586,0.0260866,0.105298,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,0,0,0,0.0026,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.0733237,0.0266966,0.116942,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,0,0,0,0.0025,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.0620388,0.0245789,0.107486,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0,0.0024,100,350
$,normalized-995.cudf.trendy.opb,0,0,0,0.0279657,0.0506236,245,1233
$,normalized-j3028_7.std.opb,1,48,0.338695,0.319038,1.4222,18662,62670
*,normalized-j3028_7.std.opb,1,0,0,0,0.0022,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,252.335,0.514863,255.127,2504,2065
*,normalized-neos-859770.opb,1,0,0,0,0.0023,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.0850279,0.0274535,0.128996,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,0,0,0,0.0026,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.043532,0.0221321,0.0800924,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0,0.0027,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.0424598,0.0283192,0.0911717,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0,0.0028,56,5
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.0716529,0.0266947,0.116775,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,0,0,0,0.0026,99,244
$,normalized-bogr_6.opb,1,17,0.0599983,0.0240158,0.113748,139,216
*,normalized-bogr_6.opb,1,0,0,0,0.002,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.0743896,0.0251966,0.115961,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,0,0,0,0.0025,99,244
$,normalized-fx84.opb,1,8,0.845913,0.0726756,1.18094,6088,6677
*,normalized-fx84.opb,1,0,0,0,0.0021,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.1188,0.287917,19.0176,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0,0.0022,83000,1820
$,normalized-cm42a.opb,1,694,0.0778758,0.0221422,0.117947,99,185
*,normalized-cm42a.opb,1,0,0,0,0.0026,99,185
$,normalized-e64.b.opb,1,47,759.638,0.0299347,759.718,607,1022
*,normalized-e64.b.opb,1,0,0,0,0.0019,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.0595239,0.02409,0.122578,144,70
*,normalized-lo_12x12_002.opb.metafix.opb,1,0,0,0,0.0027,144,70
$,normalized-fir06_area_opers.opb,1,23,0.938808,0.136925,1.43299,11085,23298
*,normalized-fir06_area_opers.opb,1,0,0,0,0.0022,11085,23298
&,normalized-reduced-mps-v2-20-10-swath1.opb,timeout,-1,-1,-1,-1,53335,5302
