status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.04391,0.00000,0.05512,26,27
*,normalized-hmittelman.lin.opb,1,0,0,0.00000,0.00000,26,27
$,normalized-OGR_6.opb,1,17,0.07400,0.00001,0.08921,141,215
*,normalized-OGR_6.opb,1,0,0,0.00000,0.00000,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.06975,0.00301,0.11726,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,1,81,1.00000,0.00300,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1188.83148,0.00077,1188.88060,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,1,0,0,0.00000,0.00080,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.18952,0.02752,0.24955,3540,9890
*,normalized-fir03_area_delay.opb,1,1,1890,0.99788,0.02750,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.14637,0.00002,0.15855,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0.00000,0.00000,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,811.80440,0.03371,811.98627,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,1,35,1.00000,0.03370,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.45643,0.07665,0.60620,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,1,1,15398,0.99825,0.07660,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,32.28702,0.00230,32.46869,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,1,0,0,0.00000,0.00230,54540,1503
$,normalized-factor-size=9-P=89-Q=487.opb,1,89,0.05097,0.00277,0.06874,99,244
*,normalized-factor-size=9-P=89-Q=487.opb,1,1,81,1.00000,0.00280,99,244
$,normalized-factor-size=9-P=331-Q=347.opb,1,331,0.07486,0.00306,0.12327,99,244
*,normalized-factor-size=9-P=331-Q=347.opb,1,1,81,1.00000,0.00310,99,244
$,normalized-aim-50-6_0-yes1-1.opb,1,50,0.06458,0.00014,0.07958,100,350
*,normalized-aim-50-6_0-yes1-1.opb,1,0,0,0.00000,0.00010,100,350
$,normalized-995.cudf.trendy.opb,0,0,0.02669,0.00315,0.04569,245,1233
*,normalized-995.cudf.trendy.opb,1,1,139,0.71223,0.00320,245,1233
$,normalized-j3028_7.std.opb,1,48,0.39459,0.22895,0.76262,18662,62670
*,normalized-j3028_7.std.opb,1,1,10361,1.00000,0.22900,18662,62670
&,normalized-market-split_6_50_1.opb,timeout,-1,-1,-1,-1,51,13
$,normalized-neos-859770.opb,0,0,251.33682,0.00021,251.50101,2504,2065
*,normalized-neos-859770.opb,1,0,0,0.00000,0.00020,2504,2065
$,normalized-factor-size=9-P=293-Q=307.opb,1,293,0.06237,0.00276,0.07972,99,244
*,normalized-factor-size=9-P=293-Q=307.opb,1,1,81,1.00000,0.00280,99,244
$,normalized-lo_8x8_003.opb.metafix.opb,1,26,0.04699,0.00006,0.05854,64,46
*,normalized-lo_8x8_003.opb.metafix.opb,1,0,0,0.00000,0.00010,64,46
$,normalized-reduced-mps-v2-20-10-testprob.opb,1,262130,0.04320,0.00000,0.05953,56,5
*,normalized-reduced-mps-v2-20-10-testprob.opb,1,0,0,0.00000,0.00000,56,5
$,normalized-mspp16.opb,1,33,46.42189,8.95996,61.33278,29280,561657
*,normalized-mspp16.opb,1,0,0,0.00000,8.96000,29280,561657
&,normalized-bogr_18.opb,timeout,-1,-1,-1,-1,8878,17460
$,normalized-factor-size=9-P=113-Q=331.opb,1,113,0.05605,0.00312,0.09504,99,244
*,normalized-factor-size=9-P=113-Q=331.opb,1,1,81,1.00000,0.00310,99,244
$,normalized-bogr_6.opb,1,17,0.05817,0.00001,0.07259,139,216
*,normalized-bogr_6.opb,1,0,0,0.00000,0.00000,139,216
$,normalized-factor-size=9-P=257-Q=331.opb,1,257,0.06075,0.00305,0.09409,99,244
*,normalized-factor-size=9-P=257-Q=331.opb,1,1,81,1.00000,0.00300,99,244
$,normalized-fx84.opb,1,8,0.84121,0.03783,0.90943,6088,6677
*,normalized-fx84.opb,1,0,0,0.00000,0.03780,6088,6677
&,normalized-autocorr_bern30-23.lin.opb,timeout,-1,-1,-1,-1,5376,10692
$,normalized-reduced-mps-v2-20-10-qap10.opb,1,29,17.10155,0.00327,17.27511,83000,1820
*,normalized-reduced-mps-v2-20-10-qap10.opb,1,0,0,0.00000,0.00330,83000,1820
$,normalized-cm42a.opb,1,694,0.08164,0.00261,0.12750,99,185
*,normalized-cm42a.opb,1,1,30,1.00000,0.00260,99,185
$,normalized-e64.b.opb,1,47,748.21494,0.00004,748.23063,607,1022
*,normalized-e64.b.opb,1,0,0,0.00000,0.00000,607,1022
$,normalized-lo_12x12_002.opb.metafix.opb,1,70,0.05834,0.00014,0.07144,144,70
