status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
&,normalized-frb45-21-5.opb,timeout,-1,-1,-1,-1,945,58579
&,normalized-mps-v2-20-10-opt1217.opb,timeout,-1,-1,-1,-1,787,65
$,normalized-hmittelman.lin.opb,1,13,0.0426151,0.0319261,0.0882096,26,27
*,normalized-hmittelman.lin.opb,5,40,10,100,0.0019,26,27
*,normalized-hmittelman.lin.opb,5,0,0,0,0.002,26,27
*,normalized-hmittelman.lin.opb,5,0,0,0,0.0019,26,27
*,normalized-hmittelman.lin.opb,2,50,1,100,0.0016,26,27
*,normalized-hmittelman.lin.opb,2,0,0,0,0,26,27
*,normalized-hmittelman.lin.opb,2,50,5,100,0.0033,26,27
$,normalized-OGR_6.opb,1,17,0.0723998,0.0510353,0.153832,141,215
*,normalized-OGR_6.opb,2,0,0,0,0.0013,141,215
*,normalized-OGR_6.opb,2,0,0,0,0.0017,141,215
*,normalized-OGR_6.opb,2,0,0,0,0.0008,141,215
*,normalized-OGR_6.opb,1,100,105,100,0.0027,141,215
*,normalized-OGR_6.opb,1,0,0,0,0,141,215
*,normalized-OGR_6.opb,1,0,0,0,0.0212,141,215
$,normalized-factor-size=9-P=239-Q=487.opb,1,239,0.0649126,0.0274294,0.109553,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0016,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0017,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0015,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0017,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0,99,244
*,normalized-factor-size=9-P=239-Q=487.opb,1,0,0,0,0.0024,99,244
&,normalized-reduced-mps-v2-20-10-standata.opb,timeout,-1,-1,-1,-1,30004,455
&,normalized-j12040_1.std.opb,timeout,-1,-1,-1,-1,72842,245500
$,normalized-reduced-mps-v2-20-10-tuff.opb,1,8,1414.08,5.67609,1420.16,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,30,20,82,100,0.0757,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,30,36.6667,23166,100,0.5403,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,30,6.66667,38,0,0.0239,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,4,0,0,0,0.0378,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,6,0,0,0,0.0002,17153,320
*,normalized-reduced-mps-v2-20-10-tuff.opb,21,100,336,100,4.9098,17153,320
$,normalized-fir03_area_delay.opb,1,10,0.140647,0.106819,0.384884,3540,9890
*,normalized-fir03_area_delay.opb,2,0,0,0,0.0076,3540,9890
*,normalized-fir03_area_delay.opb,2,0,0,0,0.0056,3540,9890
*,normalized-fir03_area_delay.opb,2,0,0,0,0.0022,3540,9890
*,normalized-fir03_area_delay.opb,1,100,98,100,0.0049,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0002,3540,9890
*,normalized-fir03_area_delay.opb,1,0,0,0,0.0257,3540,9890
$,normalized-graphpart_2pm-0066-0066.lin.opb,1,-29,0.144303,0.0334018,0.198638,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0013,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.0014,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.001,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.002,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0,324,468
*,normalized-graphpart_2pm-0066-0066.lin.opb,1,0,0,0,0.005,324,468
&,normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE2.0_TMAX180_K67_cod2.opb,timeout,-1,-1,-1,-1,40937,41436
&,normalized-sporttournament24.lin.opb,timeout,-1,-1,-1,-1,804,1056
$,normalized-50-250-false-45-90-4-6000opt.opb,1,-175,455.829,0.797848,457.472,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,2,0,0,0,0.0412,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,2,0,0,0,0.0556,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,2,0,0,0,0.0053,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0223,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,1,0,0,0,0.0005,2025,62145
*,normalized-50-250-false-45-90-4-6000opt.opb,2,50,8,100,0.4275,2025,62145
&,normalized-sporttournament22.lin.opb,timeout,-1,-1,-1,-1,671,880
$,normalized-rand767898.cudf.paranoid.opb,1,4821,0.240372,2.24411,2.76595,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,15,6.66667,3,100,0.0347,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,15,13.3333,10,100,0.0327,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,15,60,85,98.8235,0.0259,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,3,100,2053,100,0.0248,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,6,50,113,99.115,0.0017,5530,24745
*,normalized-rand767898.cudf.paranoid.opb,3,66.6667,1491,100,1.9885,5530,24745
$,normalized-reduced-mps-v2-20-10-degen3.opb,0,0,4.23979,1.52668,7.39532,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,3,33.3333,783,100,0.2926,54540,1503
*,normalized-reduced-mps-v2-20-10-degen3.opb,3,66.6667,55622,100,0.3403,54540,1503
