status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,1,-,0.00000,0.00052,0.00000,182,798
*,normalized-6_6_7.opb,1,0,0,0.00000,0.00050,182,798
$,normalized-6_6_7.opb,0,-,0.06975,0.03043,0.11647,182,798
*,normalized-6_6_7.opb,3,0.00000,0,0.00000,0.00050,182,798
*,normalized-6_6_7.opb,3,0.00000,0,0.00000,0.00100,182,798
*,normalized-6_6_7.opb,3,0.00000,0,0.00000,0.00120,182,798
*,normalized-6_6_7.opb,3,33.33333,1,100.00000,0.00080,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00000,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00260,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00120,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00250,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00000,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00200,182,798
*,normalized-6_6_7.opb,1,0.00000,0,0.00000,0.00000,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,-,0.00000,0.00002,0.00000,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0.00000,0.00000,345,344
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.04245,0.02722,0.08058,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00120,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00160,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00170,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,3,0.00000,0,0.00000,0.00160,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00000,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,50.00000,172,100.00000,0.00320,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00210,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00300,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,2,0.00000,0,0.00000,0.00000,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00080,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0.00000,0,0.00000,0.00000,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.00000,0.00001,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0.00000,0.00000,149,128
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.04890,0.02848,0.08816,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00150,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00170,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00180,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,2,0.00000,0,0.00000,0.00170,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00260,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00220,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00270,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00080,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0.00000,0,0.00000,0.00000,149,128
$,normalized-4_5_0.opb,1,-,0.00000,0.00005,0.00000,20,69
*,normalized-4_5_0.opb,1,0,0,0.00000,0.00000,20,69
$,normalized-4_5_0.opb,0,-,0.00000,0.02347,0.03139,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,1,-,0.00000,0.00060,0.00000,210,929
*,normalized-7_7_7.opb,1,0,0,0.00000,0.00060,210,929
$,normalized-7_7_7.opb,0,-,0.07182,0.03942,0.12905,210,929
*,normalized-7_7_7.opb,3,0.00000,0,0.00000,0.00020,210,929
*,normalized-7_7_7.opb,3,0.00000,0,0.00000,0.00110,210,929
*,normalized-7_7_7.opb,3,0.00000,0,0.00000,0.00110,210,929
*,normalized-7_7_7.opb,3,33.33333,1,100.00000,0.00060,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00000,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00220,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00110,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00260,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00000,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00250,210,929
*,normalized-7_7_7.opb,1,0.00000,0,0.00000,0.00000,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,1,-,0.00000,0.00584,0.00000,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0.00000,0.00580,2484,5292
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.65856,0.07207,40.78277,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,2,0.00000,0,0.00000,0.00000,2484,5292
