"","solvedIns","solveTime","preTime","decfasterNum","nExtraFaster","up mean(%)","up median(%)","decslowerNum","nExtraSlower","down mean(%)","down median(%)","nCall","nApplied(%)","red%","correct_ans"
"PureLit",1725,52.3802673868986,0.319070132231884,361,32,42.6899587883825,37.377989613021,103,31,140.797184164251,27.8160221509275,2.37190082644628,24.2621015348288,9.46704796570096,TRUE
"roundingSat",1724,51.5766763115429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ParallelRow",1709,55.9047764557051,0.322037908718549,514,32,35.0309539093023,28.9010720363923,268,47,482.794405543822,50.6166279817668,1,43.0274135876043,14.999856357932,TRUE
"SimpleProbing",1705,55.0068753957771,0.279125073900293,46,34,49.99249199145,41.0546589504554,66,53,13844.4078672778,372.77077848009,1.03345280764636,2.32974910394265,2.84681546989311,TRUE
"CoeffStrengthen",1703,54.3581179530828,0.302512671520846,76,29,30.5178582878171,29.9941400353966,66,50,38.1803285788309,23.0616615000023,1.0633971291866,3.76794258373206,18.6315852763146,TRUE
"DualFix",1702,53.4692999678026,0.284443368096357,29,29,NA,NA,51,51,NA,NA,1,0,NA,TRUE
"defaultPaPILO",1702,53.6355708586369,0.278445530141011,29,29,NA,NA,51,51,NA,NA,NA,NA,NA,TRUE
"HBR",1701,54.8255507877719,1.81565234567901,238,19,33.6881939528279,31.6271712394632,252,42,151.340919195076,25.3081782361433,1,25.5731922398589,0.182477080002573,TRUE
"Probing",1698,55.4334610074794,18.4256828616019,327,37,53.5315700483,48.9684475181727,168,63,478.196388825113,48.9897645824051,2.13917216556689,25.3149370125975,29.8164869154379,TRUE
"Propagation",1698,53.4501698086572,0.307890274911661,89,28,68.1716516094592,79.7627105753508,80,54,1026.52752642056,140.138594834681,1.17936412717457,6.05878824235153,12.9020688888619,TRUE
"all",1698,51.9428599293286,13.2590971672556,798,36,48.2146782065297,39.0954699733995,361,62,687.730994760489,40.4243180210162,3.50987231802027,21.2781361063578,6.09215882265369,TRUE
"ColSingleton",1696,48.9732018521816,0.278992205660377,41,25,68.2394276479578,69.7858388286655,63,53,6842.70648047816,297.648481057974,1.01861861861862,1.86186186186186,2.21865177141686,TRUE
"Doubletoneq",1693,51.3832533971648,0.281292228352038,58,29,45.991189257827,30.8020948949485,86,60,944.082203672164,110.442497973589,1.06979542719615,3.97111913357401,0.509181271253053,TRUE
"SimplifyIneq",1691,53.490977440272,0.333410933767002,79,28,25.2778203101132,23.8815645528141,64,61,174.365483131644,151.014256081619,1.03433734939759,3.31325301204819,2.87902732935201,TRUE
"Stuffing",1688,48.8275298130924,0.277619163684834,41,25,68.189678900942,69.9069010051371,71,61,6854.40000982148,426.361418148308,1.01870850935425,1.87085093542547,2.21865177141686,TRUE
"Sparsify",1684,53.3825121260689,0.282324207007126,28,27,30.1908553019503,30.1908553019503,67,67,NA,NA,1,0.0604960677555959,0.172711571675302,TRUE
