status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.064726,0.0308658,0.116055,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0441382,0.0267159,0.0894811,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0495364,0.0242847,0.0941757,149,128
$,normalized-4_5_0.opb,0,-,0,0.0258925,0.040958,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1176.71,0.0692217,1176.94,3968,7920
$,normalized-7_7_7.opb,0,-,0.0648062,0.0284939,0.119196,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.8635,0.03975,40.9646,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.707648,0.445852,2.05104,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.344,1.23258,6.06439,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0949573,0.0227712,0.133897,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0602854,0.02503,0.104044,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0538955,0.0250247,0.0967938,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0540737,0.0253529,0.104408,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.072026,0.0246151,0.112403,60,160
$,normalized-8_7_19.opb,0,-,192.088,0.043159,192.186,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.420758,0.14757,0.839821,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.92545,0.0232224,0.964739,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145997,0.0401859,0.261494,6435,2146
$,normalized-8_7_20.opb,1,-,0.374425,0.0438892,0.486445,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0914079,0.0229232,0.133412,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.513313,0.0859671,0.806724,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0952027,0.0214482,0.131787,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0433732,0.0245724,0.0815097,141,70
$,normalized-107.opb,1,-,8.55677,1.20035,13.1171,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0508685,0.0259815,0.103022,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.1931,0.095668,62.5223,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0711517,0.0226019,0.113666,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0397721,0.0247613,0.0791179,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0426804,0.0221651,0.0788473,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0547039,0.0239852,0.096585,138,277
$,normalized-7_7_12.opb,0,-,0.803635,0.0319241,0.871917,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.03951,1.68921,7.19294,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0438498,0.0233428,0.0857917,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.151303,0.0284355,0.232441,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.5882,0.330418,82.6367,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.127993,0.0311096,0.212667,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.30143,0.0299379,1.37768,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.1951,0.058766,81.4153,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0767796,0.0189892,0.110254,78,208
$,normalized-ECgrid5x70split.opb,0,-,153.969,0.0276269,154.018,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0406854,0.0229601,0.0781228,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.132762,0.0213586,0.169011,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0425114,0.024808,0.0839389,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.2255,0.39016,16.1628,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.23,0.0337189,131.281,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.64158,0.0217223,3.68096,117,312
$,normalized-5_7_7.opb,0,-,0.0635557,0.0305003,0.115515,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,69.2642,2.83142,78.4774,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.4732,0.0845808,78.7613,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,81.0551,0.741876,83.5052,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0507807,0.0239624,0.0898869,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,120.247,3.75788,134.835,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,208.287,0.0234711,208.329,601,301
$,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.491772,0.0219833,0.531094,105,280
$,normalized-j1204_7-sat.opb,1,-,0.212083,0.333711,1.17728,19844,62356
$,normalized-pigeon-cardinality-75-70.opb,0,-,0.070611,0.0300255,0.149327,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
$,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.120691,0.0512534,0.310045,2280,1636
$,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0431276,0.0272393,0.0882562,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0577799,0.027023,0.101305,88,177
$,itox_vc909.opb,1,-,0.785287,1.60783,6.57591,112115,327768
$,normalized-2_3_4.opb,0,-,0.0451219,0.0254194,0.0881226,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-t3002.11tsp11.1900670167.opb,0,-,1.00311,0.0284461,1.07684,231,2707
$,rbsat-v945c61409g10.opb,1,-,1092.19,0.159596,1092.95,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.33651,0.0926254,0.648511,257,7375
$,normalized-pigeon-cardinality-81-80.opb,0,-,0.0894814,0.0342322,0.17874,6480,161
&,normalized-sha1-size128-round21-9.opb,timeout,-1,-1,-1,-1,3968,7904
